subject_id,modality,classification_macro_f1,classification_severe_error_rate,regression_bounded_mae,regression_residual_mean,oof_runs
sub-cp038,head_movement_features,0.2986111111111111,0.25,0.9088940326666665,0.5825223873333333,12
sub-cp039,head_movement_features,0.17142857142857143,0.4166666666666667,0.8748802916666666,0.5047473383333333,12
sub-cp042,head_movement_features,0.2153846153846154,0.5,0.9402993000000001,0.4674188050000001,12
sub-cp043,head_movement_features,0.42500000000000004,0.16666666666666666,0.7429680476666666,0.14699947566666663,12
sub-cp003,flight_parameter_features,1.0,0.0,0.08451118333333331,-0.06600675999999996,12
sub-cp004,flight_parameter_features,1.0,0.0,0.08077420599999989,0.015513830666666673,12
sub-cp005,flight_parameter_features,0.7476190476190476,0.0,0.23875792333333337,-0.16113121666666663,12
sub-cp006,flight_parameter_features,1.0,0.0,0.19809316433333332,0.022981195666666714,12
sub-cp008,flight_parameter_features,1.0,0.0,0.21066621500000005,0.05702371833333334,12
sub-cp009,flight_parameter_features,0.7416666666666667,0.0,0.36753071666666665,0.15851623666666664,12
sub-cp011,flight_parameter_features,0.7428571428571429,0.0,0.4659001766666666,-0.07984900333333338,12
sub-cp012,flight_parameter_features,1.0,0.0,0.13480234000000005,-0.12046133666666664,12
sub-cp013,flight_parameter_features,0.4380952380952381,0.16666666666666666,0.7626323016666667,-0.4602500783333332,12
sub-cp014,flight_parameter_features,1.0,0.0,0.17288689000000002,-0.01948521666666671,12
sub-cp015,flight_parameter_features,0.8375,0.08333333333333333,0.234829796,0.14726430733333337,12
sub-cp016,flight_parameter_features,1.0,0.0,0.14397124833333344,0.06551080166666672,12
sub-cp017,flight_parameter_features,1.0,0.0,0.10428761500000004,-0.04873552500000002,12
sub-cp018,flight_parameter_features,1.0,0.0,0.08480975166666667,0.020971081666666575,12
sub-cp019,flight_parameter_features,1.0,0.0,0.2539983826666667,0.13047970066666661,12
sub-cp020,flight_parameter_features,0.8125,0.0,0.21640644333333334,-0.1551700699999999,12
sub-cp022,flight_parameter_features,0.9142857142857143,0.0,0.3097038516666667,-0.11916122833333327,12
sub-cp023,flight_parameter_features,0.8309523809523809,0.08333333333333333,0.43763978500000006,0.039338648333333316,12
sub-cp024,flight_parameter_features,0.6476190476190476,0.0,0.30986339949999997,0.22760853383333332,12
sub-cp025,flight_parameter_features,0.9142857142857143,0.0,0.0846784713333333,0.04455314866666665,12
sub-cp026,flight_parameter_features,0.9142857142857143,0.0,0.10982457783333333,0.047085478833333326,12
sub-cp027,flight_parameter_features,1.0,0.0,0.09511148666666673,0.04346751000000004,12
sub-cp028,flight_parameter_features,0.9142857142857143,0.0,0.18588016166666663,0.019385851666666714,12
sub-cp029,flight_parameter_features,1.0,0.0,0.1548567376666666,0.012215122333333309,12
sub-cp030,flight_parameter_features,0.9142857142857143,0.0,0.19018828727272724,0.032288923636363646,11
sub-cp031,flight_parameter_features,0.9142857142857143,0.0,0.19271415833333336,0.07269145500000003,12
sub-cp032,flight_parameter_features,0.8125,0.0,0.26845259499999996,0.014719121666666632,12
sub-cp033,flight_parameter_features,0.7309523809523809,0.0,0.3955340316666666,-0.029975034999999945,12
sub-cp035,flight_parameter_features,0.9142857142857143,0.0,0.17998790883333335,-0.07484207883333337,12
sub-cp036,flight_parameter_features,0.47916666666666663,0.0,0.3633965066666666,0.09929805666666665,12
sub-cp037,flight_parameter_features,1.0,0.0,0.15630403666666673,0.008154610000000007,12
sub-cp038,flight_parameter_features,0.4666666666666667,0.0,0.49656697666666677,0.19730413000000005,12
sub-cp039,flight_parameter_features,0.25,0.08333333333333333,0.8357301733333333,-0.44738415333333337,12
sub-cp042,flight_parameter_features,0.9142857142857143,0.0,0.2688217366666667,0.061870846666666646,12
sub-cp043,flight_parameter_features,1.0,0.0,0.34282577666666664,-0.011488683333333341,12
sub-cp003,body_movement,0.1,0.5,0.9999999999999999,-0.029436919999999794,12
sub-cp004,body_movement,0.36136363636363633,0.4166666666666667,0.9541407463333332,0.31841181033333327,12
sub-cp005,body_movement,0.19444444444444442,0.5,1.3607952476666665,0.22411705766666679,12
sub-cp006,body_movement,0.18333333333333335,0.4166666666666667,1.2523377966666667,-0.08191042666666674,12
sub-cp008,body_movement,0.1625,0.4166666666666667,0.782539125,0.37419932833333336,12
sub-cp009,body_movement,0.1,0.5,1.0,-0.02939623999999963,12
sub-cp011,body_movement,0.3125,0.3333333333333333,0.9779075546666666,0.31624175200000004,12
sub-cp012,body_movement,0.1,0.25,0.8631784633333334,-0.0608627633333334,12
sub-cp013,body_movement,0.11688311688311688,0.6666666666666666,1.0564887856666667,0.914151919,12
sub-cp014,body_movement,0.23214285714285715,0.25,0.6463415536666667,0.2018172696666666,12
sub-cp015,body_movement,0.1,0.25,1.1987137105,0.15557514716666676,12
sub-cp016,body_movement,0.1,0.25,1.2156815066666669,0.1015646433333333,12
sub-cp017,body_movement,0.2111111111111111,0.3333333333333333,0.6597609204999999,-0.16219273716666674,12
sub-cp018,body_movement,0.1,0.25,0.8801418233333335,0.4847198933333334,12
sub-cp019,body_movement,0.1,0.25,1.1931145566666668,-0.053980849999999934,12
sub-cp020,body_movement,0.1,0.25,0.9675560383333334,-0.3195511916666665,12
sub-cp022,body_movement,0.08333333333333333,0.25,0.8528178906666669,-0.16177985400000003,12
sub-cp023,body_movement,0.11538461538461539,0.4166666666666667,1.372508564333333,1.2580887576666666,12
sub-cp024,body_movement,0.045454545454545456,0.4166666666666667,1.1813317191666666,0.03371307583333335,12
sub-cp025,body_movement,0.2,0.16666666666666666,1.0657253526666668,0.21359178266666676,12
sub-cp026,body_movement,0.20833333333333331,0.25,1.113525065,0.38522319833333335,12
sub-cp027,body_movement,0.16666666666666666,0.3333333333333333,0.9718462401666668,0.5241566065,12
