subject_id,modality,bounded_mae,bounded_rmse,oof_runs
sub-cp038,flight_parameter_features,0.49656697666666677,0.5351663532503078,12
sub-cp039,flight_parameter_features,0.8357301733333333,1.0257219190449243,12
sub-cp042,flight_parameter_features,0.2688217366666667,0.35735257200587467,12
sub-cp043,flight_parameter_features,0.34282577666666664,0.3871868801872148,12
sub-cp003,body_movement,0.9999999999999999,1.1184214466197822,12
sub-cp004,body_movement,0.9541407463333332,1.3201069010603859,12
sub-cp005,body_movement,1.3607952476666665,1.4813053087685382,12
sub-cp006,body_movement,1.2523377966666667,1.4081648566220013,12
sub-cp008,body_movement,0.782539125,0.9981078521430948,12
sub-cp009,body_movement,1.0,1.1184203766590348,12
sub-cp011,body_movement,0.9779075546666666,1.2810421494507749,12
sub-cp012,body_movement,0.8631784633333334,1.068087184486915,12
sub-cp013,body_movement,1.0564887856666667,1.4797428123755894,12
sub-cp014,body_movement,0.6463415536666667,0.8037292323980146,12
sub-cp015,body_movement,1.1987137105,1.5516070054764044,12
sub-cp016,body_movement,1.2156815066666669,1.5313069299151791,12
sub-cp017,body_movement,0.6597609204999999,0.8654387191105161,12
sub-cp018,body_movement,0.8801418233333335,1.1570936980464568,12
sub-cp019,body_movement,1.1931145566666668,1.3302716939071044,12
sub-cp020,body_movement,0.9675560383333334,1.2938492986066534,12
sub-cp022,body_movement,0.8528178906666669,1.1095540350747246,12
sub-cp023,body_movement,1.372508564333333,1.652932867302848,12
sub-cp024,body_movement,1.1813317191666666,1.424950791056776,12
sub-cp025,body_movement,1.0657253526666668,1.153827305436563,12
sub-cp026,body_movement,1.113525065,1.2223212347626202,12
sub-cp027,body_movement,0.9718462401666668,1.2738837111853623,12
sub-cp028,body_movement,1.2072418321666667,1.5643413722011446,12
sub-cp029,body_movement,0.8648099133333331,1.0099313712465192,12
sub-cp030,body_movement,0.9075645145454545,1.1817413486559296,11
sub-cp031,body_movement,1.1024348366666665,1.3507928598999475,12
sub-cp032,body_movement,0.9034760033333334,1.2400750493372517,12
sub-cp033,body_movement,1.1610116651666667,1.3312308495751497,12
sub-cp035,body_movement,0.9300936483333335,1.0765169385652633,12
sub-cp036,body_movement,0.9700074803333334,1.1379054786464884,12
sub-cp037,body_movement,1.2404179316666666,1.4583359366224882,12
sub-cp038,body_movement,0.9702147066666665,1.201589140924809,12
sub-cp039,body_movement,1.142154495,1.2928999499967164,12
sub-cp042,body_movement,0.9160128000000002,1.0693622062924275,12
sub-cp043,body_movement,1.0206646,1.2483106008941522,12
sub-cp003,multimodal_reference,0.08276610619168266,0.10904304232173778,12
sub-cp004,multimodal_reference,0.08030579857608665,0.10854060586142139,12
sub-cp005,multimodal_reference,0.26552432498216316,0.3364080413573288,12
sub-cp006,multimodal_reference,0.16747881985583957,0.2161409856981259,12
sub-cp008,multimodal_reference,0.19008764154909108,0.2904982969085616,12
sub-cp009,multimodal_reference,0.4035762099197968,0.44121004690880333,12
sub-cp011,multimodal_reference,0.4608954648803916,0.5665826762661332,12
sub-cp012,multimodal_reference,0.1465302360155077,0.18845672633853142,12
sub-cp013,multimodal_reference,0.7696378979740705,0.884474686077977,12
sub-cp014,multimodal_reference,0.20589729674685353,0.22574606551934442,12
sub-cp015,multimodal_reference,0.2460757533578406,0.3422728133976796,12
sub-cp016,multimodal_reference,0.1358791664860627,0.19225564407836612,12
sub-cp017,multimodal_reference,0.1780474653255062,0.22191769351739618,12
sub-cp018,multimodal_reference,0.1071019509749578,0.14523051601150722,12
sub-cp019,multimodal_reference,0.2158474680035848,0.2825196383460619,12
sub-cp020,multimodal_reference,0.19689303719835516,0.24363223557929747,12
sub-cp022,multimodal_reference,0.3070497660930843,0.4269805941045106,12
sub-cp023,multimodal_reference,0.40581685266845985,0.5902659581435985,12
sub-cp024,multimodal_reference,0.3126708542067297,0.42331868497059316,12
sub-cp025,multimodal_reference,0.09442948974574587,0.15056032438057254,12
sub-cp026,multimodal_reference,0.13741810659001819,0.18465240963841853,12
sub-cp027,multimodal_reference,0.0950751160837547,0.15733380859173726,12
sub-cp028,multimodal_reference,0.19522566605554123,0.24279588328711535,12
sub-cp029,multimodal_reference,0.16740194457669935,0.23054399127454808,12
sub-cp030,multimodal_reference,0.27179396762610514,0.36413421158808046,11
sub-cp031,multimodal_reference,0.21684711831902037,0.34865445113589966,12
sub-cp032,multimodal_reference,0.27991175117014727,0.3770609182403315,12
sub-cp033,multimodal_reference,0.401413575235017,0.4774843188696827,12
sub-cp035,multimodal_reference,0.19944313440797182,0.3169590265005866,12
sub-cp036,multimodal_reference,0.4110858651284401,0.45627510845052355,12
sub-cp037,multimodal_reference,0.10348940637192144,0.13370210492112755,12
sub-cp038,multimodal_reference,0.4856571434430754,0.5540031251573905,12
sub-cp039,multimodal_reference,0.8363794634547358,1.0244478822232181,12
sub-cp042,multimodal_reference,0.19148515800533983,0.26735881323722727,12
