subject_id,modality,macro_f1,balanced_accuracy,severe_error_rate,oof_runs
sub-cp017,head_movement_features,0.17692307692307693,0.25,0.5,12
sub-cp018,head_movement_features,0.23214285714285715,0.3333333333333333,0.4166666666666667,12
sub-cp019,head_movement_features,0.3142857142857143,0.3333333333333333,0.3333333333333333,12
sub-cp020,head_movement_features,0.525,0.49999999999999994,0.08333333333333333,12
sub-cp022,head_movement_features,0.4363636363636364,0.5,0.16666666666666666,12
sub-cp023,head_movement_features,0.3653846153846154,0.41666666666666663,0.16666666666666666,12
sub-cp024,head_movement_features,0.2361111111111111,0.25,0.3333333333333333,12
sub-cp025,head_movement_features,0.2976190476190476,0.3333333333333333,0.3333333333333333,12
sub-cp026,head_movement_features,0.275,0.41666666666666663,0.4166666666666667,12
sub-cp027,head_movement_features,0.30833333333333335,0.3333333333333333,0.16666666666666666,12
sub-cp028,head_movement_features,0.2792207792207792,0.41666666666666663,0.08333333333333333,12
sub-cp029,head_movement_features,0.35119047619047616,0.41666666666666663,0.0,12
sub-cp030,head_movement_features,0.1875,0.3333333333333333,0.36363636363636365,11
sub-cp031,head_movement_features,0.5,0.5,0.0,12
sub-cp032,head_movement_features,0.20833333333333331,0.3333333333333333,0.25,12
sub-cp033,head_movement_features,0.29444444444444445,0.3333333333333333,0.16666666666666666,12
sub-cp035,head_movement_features,0.1,0.25,0.25,12
sub-cp036,head_movement_features,0.375,0.41666666666666663,0.08333333333333333,12
sub-cp037,head_movement_features,0.5857142857142856,0.5833333333333333,0.08333333333333333,12
sub-cp038,head_movement_features,0.2986111111111111,0.3333333333333333,0.25,12
sub-cp039,head_movement_features,0.17142857142857143,0.25,0.4166666666666667,12
sub-cp042,head_movement_features,0.2153846153846154,0.3333333333333333,0.5,12
sub-cp043,head_movement_features,0.42500000000000004,0.41666666666666663,0.16666666666666666,12
sub-cp003,flight_parameter_features,1.0,1.0,0.0,12
sub-cp004,flight_parameter_features,1.0,1.0,0.0,12
sub-cp005,flight_parameter_features,0.7476190476190476,0.75,0.0,12
sub-cp006,flight_parameter_features,1.0,1.0,0.0,12
sub-cp008,flight_parameter_features,1.0,1.0,0.0,12
sub-cp009,flight_parameter_features,0.7416666666666667,0.75,0.0,12
sub-cp011,flight_parameter_features,0.7428571428571429,0.75,0.0,12
sub-cp012,flight_parameter_features,1.0,1.0,0.0,12
sub-cp013,flight_parameter_features,0.4380952380952381,0.5,0.16666666666666666,12
sub-cp014,flight_parameter_features,1.0,1.0,0.0,12
sub-cp015,flight_parameter_features,0.8375,0.8333333333333333,0.08333333333333333,12
sub-cp016,flight_parameter_features,1.0,1.0,0.0,12
sub-cp017,flight_parameter_features,1.0,1.0,0.0,12
sub-cp018,flight_parameter_features,1.0,1.0,0.0,12
sub-cp019,flight_parameter_features,1.0,1.0,0.0,12
sub-cp020,flight_parameter_features,0.8125,0.8333333333333333,0.0,12
sub-cp022,flight_parameter_features,0.9142857142857143,0.9166666666666666,0.0,12
sub-cp023,flight_parameter_features,0.8309523809523809,0.8333333333333333,0.08333333333333333,12
sub-cp024,flight_parameter_features,0.6476190476190476,0.6666666666666666,0.0,12
sub-cp025,flight_parameter_features,0.9142857142857143,0.9166666666666666,0.0,12
sub-cp026,flight_parameter_features,0.9142857142857143,0.9166666666666666,0.0,12
sub-cp027,flight_parameter_features,1.0,1.0,0.0,12
sub-cp028,flight_parameter_features,0.9142857142857143,0.9166666666666666,0.0,12
sub-cp029,flight_parameter_features,1.0,1.0,0.0,12
sub-cp030,flight_parameter_features,0.9142857142857143,0.9166666666666666,0.0,11
sub-cp031,flight_parameter_features,0.9142857142857143,0.9375,0.0,12
sub-cp032,flight_parameter_features,0.8125,0.8333333333333334,0.0,12
sub-cp033,flight_parameter_features,0.7309523809523809,0.75,0.0,12
sub-cp035,flight_parameter_features,0.9142857142857143,0.9166666666666666,0.0,12
sub-cp036,flight_parameter_features,0.47916666666666663,0.5833333333333333,0.0,12
sub-cp037,flight_parameter_features,1.0,1.0,0.0,12
sub-cp038,flight_parameter_features,0.4666666666666667,0.5,0.0,12
sub-cp039,flight_parameter_features,0.25,0.3333333333333333,0.08333333333333333,12
sub-cp042,flight_parameter_features,0.9142857142857143,0.9166666666666666,0.0,12
