candidate_index,feature_selection__k,regressor__C,regressor__gamma,regressor__epsilon,split_1_validation_bounded_mae,split_2_validation_bounded_mae,split_3_validation_bounded_mae,mean_validation_bounded_mae,std_validation_bounded_mae,rank
17,50,1.0,0.1,0.2,0.7001049981334835,0.6227179469831895,0.633541446658822,0.652121463925165,0.03421599725905762,56
18,50,10.0,scale,0.0,0.41900555032328424,0.436537989221003,0.3117571062557016,0.38910021526666294,0.05515622652693982,8
19,50,10.0,0.01,0.0,0.39139320442620723,0.39355672548332454,0.2670940923326467,0.35068134074739277,0.05911170938148948,1
20,50,10.0,0.1,0.0,0.6720866423401923,0.6104151126469044,0.5913804341380776,0.624627396375058,0.03444671989384891,51
21,50,10.0,scale,0.1,0.4239591801991222,0.4423377802455588,0.3281214015327166,0.39813945399246586,0.05007553619356044,13
22,50,10.0,0.01,0.1,0.39160364037544093,0.40104891806513066,0.280887235318131,0.3578465979195675,0.05455493217344257,2
23,50,10.0,0.1,0.1,0.684572906392403,0.6182609354893183,0.6082616933577563,0.6370318450798259,0.03386355557081059,53
24,50,10.0,scale,0.2,0.4375431800406283,0.4631636561684196,0.326759707545781,0.409155514584943,0.05919405354414012,16
25,50,10.0,0.01,0.2,0.40868197947400714,0.40786938908780807,0.28004617816389366,0.36553251557523625,0.06044887916682644,5
26,50,10.0,0.1,0.2,0.698806383323669,0.6264889897912873,0.6316780957375234,0.6523244896174932,0.03293586228833731,57
27,100,0.1,scale,0.0,0.5987407311873179,0.6022604372131062,0.5796185916442204,0.5935399200148814,0.009948186445438954,43
28,100,0.1,0.01,0.0,0.5987407311873179,0.6022604372131062,0.5796185916442204,0.5935399200148814,0.009948186445438954,43
29,100,0.1,0.1,0.0,0.9751889023136721,0.9136611462458248,0.9760867578833926,0.9549789354809631,0.029218388235441782,79
30,100,0.1,scale,0.1,0.6106438723325675,0.6031617562059982,0.5852396380636998,0.5996817555340885,0.01065916141805555,45
31,100,0.1,0.01,0.1,0.6106438723325675,0.6031617562059982,0.5852396380636998,0.5996817555340885,0.01065916141805555,45
32,100,0.1,0.1,0.1,0.9751889023136721,0.9179417804582773,0.9760882025297497,0.9564062951005664,0.027200996920698935,80
33,100,0.1,scale,0.2,0.6299662953494657,0.6118839486634875,0.5940832693904172,0.6119778378011235,0.014649334441583823,48
34,100,0.1,0.01,0.2,0.6299662953494657,0.6118839486634875,0.5940832693904172,0.6119778378011235,0.014649334441583823,48
35,100,0.1,0.1,0.2,0.9751889023136721,0.920984920877421,0.9760878037437748,0.9574205423116227,0.025766488415738757,81
36,100,1.0,scale,0.0,0.43874321043439796,0.42203217138660215,0.37008431911066175,0.4102865669772206,0.02923445748493168,18
37,100,1.0,0.01,0.0,0.43874321043439796,0.42203217138660215,0.37008431911066175,0.4102865669772206,0.02923445748493168,18
38,100,1.0,0.1,0.0,0.8761003436290443,0.7528179530451127,0.9052140136134881,0.8447107700958817,0.06605613175744476,71
39,100,1.0,scale,0.1,0.44715289608464465,0.4304893402978107,0.3750347952890203,0.41755901055715855,0.030829100819339015,21
40,100,1.0,0.01,0.1,0.44715289608464465,0.4304893402978107,0.3750347952890203,0.41755901055715855,0.030829100819339015,21
41,100,1.0,0.1,0.1,0.8839749477778991,0.767177103507012,0.91015805200051,0.8537700344284738,0.062156471912208834,73
42,100,1.0,scale,0.2,0.46284918838403327,0.4497766447472124,0.38034079356512834,0.430988875565458,0.03620905970442788,24
43,100,1.0,0.01,0.2,0.46284918838403327,0.4497766447472124,0.38034079356512834,0.430988875565458,0.03620905970442788,24
44,100,1.0,0.1,0.2,0.8921797518048743,0.7845309973549252,0.9145835880922007,0.8637647790840001,0.056768401394997586,75
45,100,10.0,scale,0.0,0.39316880434363827,0.40433661209357424,0.28353507215153895,0.3603468295295838,0.05450513453558056,3
46,100,10.0,0.01,0.0,0.39316880434363827,0.40433661209357424,0.28353507215153895,0.3603468295295838,0.05450513453558056,3
47,100,10.0,0.1,0.0,0.872631055986005,0.7496342348186145,0.8958375918134798,0.8393676275393664,0.06415448621964792,70
48,100,10.0,scale,0.1,0.39777097260636457,0.4184809623767775,0.29942306423639,0.37189166640651067,0.05193585559412733,6
49,100,10.0,0.01,0.1,0.39777097260636457,0.4184809623767775,0.29942306423639,0.37189166640651067,0.05193585559412733,6
50,100,10.0,0.1,0.1,0.881494576719196,0.7647969287330915,0.902939058110208,0.8497435211874985,0.06070095618546002,72
51,100,10.0,scale,0.2,0.41861298090742244,0.4393927351328146,0.31951111182898867,0.3925056092897419,0.05230740572855728,9
52,100,10.0,0.01,0.2,0.41861298090742244,0.4393927351328146,0.31951111182898867,0.3925056092897419,0.05230740572855728,9
53,100,10.0,0.1,0.2,0.89049232280898,0.7830135080241334,0.9094886824156495,0.860998171082921,0.055686151323711526,74
54,200,0.1,scale,0.0,0.7092754739790541,0.6907620963514004,0.6673800567828392,0.6891392090377645,0.01714218612926981,61
55,200,0.1,0.01,0.0,0.7993526657371166,0.7706725845270683,0.7507789033370824,0.7736013845337558,0.019938003921040226,64
56,200,0.1,0.1,0.0,1.0040856988679647,0.9997139949435137,0.9904564447931139,0.9980853795348641,0.005682043809004968,95
57,200,0.1,scale,0.1,0.7088664833597624,0.6922704343894437,0.6670589938307407,0.6893986371933156,0.017188212230703954,62
58,200,0.1,0.01,0.1,0.8058046073805182,0.7730927796988702,0.754572885412722,0.7778234241640369,0.021181069877577785,65
59,200,0.1,0.1,0.1,1.0040856988679647,0.9997139949435132,0.9904564447931141,0.998085379534864,0.005682043809004827,94
60,200,0.1,scale,0.2,0.7234444914434194,0.69543734612438,0.6857655357987957,0.7015491244555317,0.01597792853478887,63
61,200,0.1,0.01,0.2,0.8144642894241776,0.7797369119864267,0.7708403407383868,0.7883471807163304,0.018821349056076266,66
62,200,0.1,0.1,0.2,1.0040856988679645,0.9997139949435137,0.9904564447931139,0.9980853795348641,0.005682043809004891,95
63,200,1.0,scale,0.0,0.5168352296407545,0.4878372369348,0.4180893989980054,0.4742539551911866,0.04144123489574448,28
64,200,1.0,0.01,0.0,0.6019618999042805,0.5741806692775429,0.5219316587699613,0.5660247426505949,0.03317729372490006,38
65,200,1.0,0.1,0.0,1.0035201873821813,0.9978274762034326,0.9885045581062292,0.9966174072306143,0.006189533144884768,85
66,200,1.0,scale,0.1,0.5143876928557963,0.5005633411633229,0.4320797747915608,0.4823436029368933,0.0359871967028733,29
67,200,1.0,0.01,0.1,0.6134129924263725,0.5809586621046856,0.5308233915701435,0.5750650153670672,0.03397363532995045,40
68,200,1.0,0.1,0.1,1.003609714419105,0.9979752366486841,0.9886286992094866,0.9967378834257586,0.006178240657145983,86
69,200,1.0,scale,0.2,0.5317736094439868,0.5161941855396356,0.43980701245296094,0.49592493581219443,0.04018785557779423,30
70,200,1.0,0.01,0.2,0.6314708654160764,0.5961485683043654,0.5458055905775336,0.5911416747659918,0.03515144914480031,42
71,200,1.0,0.1,0.2,1.0036992324881076,0.9981230540095463,0.9887525933298401,0.9968582932758313,0.006167129008813516,87
