candidate_index,feature_selection__k,regressor__alpha,regressor__l1_ratio,mean_validation_bounded_mae,std_validation_bounded_mae,rank,convergence_warning_count,status,split_1_validation_bounded_mae,split_2_validation_bounded_mae,split_3_validation_bounded_mae
34,200,1.0,0.5,0.7820785946349842,0.05115386516580253,41,10,COMPLETE,0.808266765082911,0.7105832108077841,0.8273858080142573
35,200,1.0,0.9,0.9780854887811286,0.03400612553692371,45,10,COMPLETE,1.004201680672269,0.9300547856711164,1.0000000000000002
36,all,0.001,0.1,0.505688275795563,0.11730005322066342,35,10,COMPLETE,0.44798345294028397,0.3998500461497174,0.6692313282966874
37,all,0.001,0.5,0.41167519671986935,0.11201207062659235,26,10,COMPLETE,0.37470852025417667,0.2967600545550902,0.5635570153503412
38,all,0.001,0.9,0.37879841619795546,0.09516407313581009,18,10,COMPLETE,0.3583443002799813,0.2738277177542796,0.5042232305596055
39,all,0.01,0.1,0.4653024991142504,0.1587434949287745,33,10,COMPLETE,0.366314096719599,0.3402967922404864,0.6892966083826656
40,all,0.01,0.5,0.2614179142222533,0.031065891997387525,2,10,COMPLETE,0.2682661515874739,0.22041107740840324,0.2955765136708827
41,all,0.01,0.9,0.24332250431393354,0.027850477405165115,1,10,COMPLETE,0.25246058002613647,0.2055744773720876,0.27193245554357665
42,all,0.1,0.1,0.4214758189173294,0.18988212091707934,28,10,COMPLETE,0.3140553871016486,0.26204648455973456,0.6883255850906052
43,all,0.1,0.5,0.3703065839874573,0.045258863630370016,17,10,COMPLETE,0.32917459727752874,0.34840297812557774,0.4333421765592654
44,all,0.1,0.9,0.4309115615800079,0.05341837108327097,30,10,COMPLETE,0.3721728930623268,0.4191395520425826,0.5014222396351143
45,all,1.0,0.1,0.5381654396960807,0.06667651801843757,37,10,COMPLETE,0.5147987536237845,0.47073408391403426,0.6289634815504231
46,all,1.0,0.5,0.7820785946349842,0.05115386516580253,41,10,COMPLETE,0.808266765082911,0.7105832108077841,0.8273858080142573
47,all,1.0,0.9,0.9780854887811286,0.03400612553692371,45,10,COMPLETE,1.004201680672269,0.9300547856711164,1.0000000000000002
