model_key,model,task,condition,primary_metric,metric_direction,full_primary_absolute_metric,condition_absolute_metric,absolute_difference_condition_minus_reference,mean_subject_degradation,median_subject_degradation,relative_degradation_percent,degradation_ci_low_95,degradation_ci_high_95,condition_subject_mean,condition_subject_ci_low_95,condition_subject_ci_high_95,subjects,performance_direction,seed_stability_sd_change
hdc_regression,HDC,regression,MISSING_PHYSIOLOGICAL,bounded_mae,lower_is_better,0.2657274084669525,0.26572578583293555,-1.62263401692897e-06,-1.6297108379066076e-06,-3.967025136164537e-08,-0.0006132684112877647,-3.98199932944308e-06,4.56360035758901e-07,0.26574022294458877,0.21182049080337664,0.32547371722606055,35,IMPROVEMENT_OR_NO_DECREASE,-9.841710359595815e-07
hdc_regression,HDC,regression,MISSING_EYE_TRACKING,bounded_mae,lower_is_better,0.2657274084669525,0.25890370272076374,-0.006823705746188735,-0.0070351522571582515,-2.2714880391572212e-05,-2.647363291427173,-0.015969268957993898,0.0020510946978601246,0.2587067003982684,0.20657051907854976,0.31816240207572505,35,IMPROVEMENT_OR_NO_DECREASE,-0.0036422455660148744
hdc_regression,HDC,regression,MISSING_HEAD_MOVEMENT,bounded_mae,lower_is_better,0.2657274084669525,0.26315774588544155,-0.002569662581510923,-0.0024877529441712253,-6.279985687085432e-06,-0.9361539852726783,-0.009831236362385884,0.005168865822428887,0.2632540997112554,0.2114821396516667,0.32128123386632035,35,IMPROVEMENT_OR_NO_DECREASE,0.0008923022395487786
hdc_regression,HDC,regression,MISSING_FLIGHT_PARAMETER,bounded_mae,lower_is_better,0.2657274084669525,0.855968007451074,0.5902405989841215,0.5906271611173007,0.5307960267842423,222.25598083834223,0.5041417015172124,0.6802599241396293,0.8563690137727272,0.7734768880159525,0.9397657958629654,35,DECREASE,0.009467803595685564
hdc_regression,HDC,regression,MISSING_BODY_MOVEMENT,bounded_mae,lower_is_better,0.2657274084669525,0.26572578583293555,-1.62263401692897e-06,-1.6297108379066076e-06,-3.967025136164537e-08,-0.0006132684112877647,-3.9596415597266796e-06,5.102489014365964e-07,0.26574022294458877,0.21246431268663418,0.32558195820230507,35,IMPROVEMENT_OR_NO_DECREASE,-9.841710359595815e-07
traditional_regression,Traditional,regression,MISSING_PHYSIOLOGICAL,bounded_mae,lower_is_better,0.10748622346925181,0.10584356131634481,-0.0016426621529069957,-0.001656758976194416,0.0,-1.5420233409614381,-0.003640139755352232,0.0002747809504584397,0.1057838310709991,0.07204980410348387,0.14432875760073177,35,IMPROVEMENT_OR_NO_DECREASE,
traditional_regression,Traditional,regression,MISSING_EYE_TRACKING,bounded_mae,lower_is_better,0.10748622346925181,0.09673683556706936,-0.010749387902182453,-0.010743415771120673,-0.0034972458745542237,-9.999401312298827,-0.01768988858551238,-0.004589166412326792,0.09669717427607287,0.06471618664461086,0.13730075278138737,35,IMPROVEMENT_OR_NO_DECREASE,
traditional_regression,Traditional,regression,MISSING_HEAD_MOVEMENT,bounded_mae,lower_is_better,0.10748622346925181,0.10298698830258751,-0.004499235166664298,-0.004524633552095985,-0.0029271613333024943,-4.211288815622224,-0.009292688989473422,-0.0004796913999801773,0.10291595649509756,0.07058924902526068,0.14041851645061507,35,IMPROVEMENT_OR_NO_DECREASE,
traditional_regression,Traditional,regression,MISSING_FLIGHT_PARAMETER,bounded_mae,lower_is_better,0.10748622346925181,0.8257605313497127,0.7182743078804609,0.718437785797222,0.7043493293131097,668.6837679145716,0.6586809523655882,0.780099508291458,0.8258783758444154,0.7608115107905643,0.8884981550631073,35,DECREASE,
traditional_regression,Traditional,regression,MISSING_BODY_MOVEMENT,bounded_mae,lower_is_better,0.10748622346925181,0.10569482500351464,-0.0017913984657371707,-0.001785093795812448,0.0,-1.6614705811168213,-0.00365486535189878,-0.0001743434966353958,0.10565549625138108,0.07299356349840412,0.14235716062250556,35,IMPROVEMENT_OR_NO_DECREASE,
