model_key,model,task,condition,subject_id,reference_primary_metric,condition_primary_metric,degradation_positive_is_worse
hdc_classification,HDC,classification,MISSING_HEAD_MOVEMENT,sub-cp008,0.9142857142857143,0.9142857142857143,0.0
hdc_classification,HDC,classification,MISSING_HEAD_MOVEMENT,sub-cp009,0.8125,0.8125,0.0
hdc_classification,HDC,classification,MISSING_HEAD_MOVEMENT,sub-cp011,0.9142857142857143,0.8333333333333333,0.080952380952381
hdc_classification,HDC,classification,MISSING_HEAD_MOVEMENT,sub-cp012,0.9142857142857143,0.9142857142857143,0.0
hdc_classification,HDC,classification,MISSING_HEAD_MOVEMENT,sub-cp013,0.7202380952380952,0.4380952380952381,0.28214285714285714
hdc_classification,HDC,classification,MISSING_HEAD_MOVEMENT,sub-cp014,0.9142857142857144,1.0,-0.08571428571428563
hdc_classification,HDC,classification,MISSING_HEAD_MOVEMENT,sub-cp015,0.7541666666666667,0.8375,-0.08333333333333337
hdc_classification,HDC,classification,MISSING_HEAD_MOVEMENT,sub-cp016,1.0,1.0,0.0
hdc_classification,HDC,classification,MISSING_HEAD_MOVEMENT,sub-cp017,0.8125,1.0,-0.1875
hdc_classification,HDC,classification,MISSING_HEAD_MOVEMENT,sub-cp018,1.0,1.0,0.0
hdc_classification,HDC,classification,MISSING_HEAD_MOVEMENT,sub-cp019,1.0,0.9142857142857143,0.08571428571428574
hdc_classification,HDC,classification,MISSING_HEAD_MOVEMENT,sub-cp020,0.8125,0.8125,0.0
hdc_classification,HDC,classification,MISSING_HEAD_MOVEMENT,sub-cp022,0.8333333333333333,0.8333333333333333,0.0
hdc_classification,HDC,classification,MISSING_HEAD_MOVEMENT,sub-cp023,0.9142857142857144,0.8309523809523809,0.08333333333333348
hdc_classification,HDC,classification,MISSING_HEAD_MOVEMENT,sub-cp024,0.830952380952381,0.9142857142857143,-0.08333333333333326
hdc_classification,HDC,classification,MISSING_HEAD_MOVEMENT,sub-cp025,0.9142857142857143,0.9142857142857143,0.0
hdc_classification,HDC,classification,MISSING_HEAD_MOVEMENT,sub-cp026,1.0,1.0,0.0
hdc_classification,HDC,classification,MISSING_HEAD_MOVEMENT,sub-cp027,0.9142857142857144,0.9142857142857144,0.0
hdc_classification,HDC,classification,MISSING_HEAD_MOVEMENT,sub-cp028,0.9142857142857143,0.9142857142857143,0.0
hdc_classification,HDC,classification,MISSING_HEAD_MOVEMENT,sub-cp029,1.0,1.0,0.0
hdc_classification,HDC,classification,MISSING_HEAD_MOVEMENT,sub-cp030,0.9142857142857143,0.8125,0.10178571428571426
hdc_classification,HDC,classification,MISSING_HEAD_MOVEMENT,sub-cp031,0.9142857142857143,0.9142857142857143,0.0
hdc_classification,HDC,classification,MISSING_HEAD_MOVEMENT,sub-cp032,0.9142857142857144,0.9142857142857144,0.0
hdc_classification,HDC,classification,MISSING_HEAD_MOVEMENT,sub-cp033,0.7309523809523809,0.7309523809523809,0.0
hdc_classification,HDC,classification,MISSING_HEAD_MOVEMENT,sub-cp035,0.9142857142857143,0.9142857142857143,0.0
hdc_classification,HDC,classification,MISSING_HEAD_MOVEMENT,sub-cp036,0.5113636363636364,0.4892857142857143,0.02207792207792203
hdc_classification,HDC,classification,MISSING_HEAD_MOVEMENT,sub-cp037,1.0,1.0,0.0
hdc_classification,HDC,classification,MISSING_HEAD_MOVEMENT,sub-cp038,0.4666666666666667,0.4666666666666667,0.0
hdc_classification,HDC,classification,MISSING_HEAD_MOVEMENT,sub-cp039,0.325,0.18333333333333335,0.14166666666666666
hdc_classification,HDC,classification,MISSING_HEAD_MOVEMENT,sub-cp042,0.9142857142857143,0.9142857142857143,0.0
hdc_classification,HDC,classification,MISSING_HEAD_MOVEMENT,sub-cp043,0.9142857142857143,1.0,-0.08571428571428574
hdc_classification,HDC,classification,MISSING_FLIGHT_PARAMETER,sub-cp003,1.0,0.1625,0.8375
hdc_classification,HDC,classification,MISSING_FLIGHT_PARAMETER,sub-cp004,1.0,0.425595238095238,0.574404761904762
hdc_classification,HDC,classification,MISSING_FLIGHT_PARAMETER,sub-cp005,0.7476190476190476,0.2111111111111111,0.5365079365079365
hdc_classification,HDC,classification,MISSING_FLIGHT_PARAMETER,sub-cp006,1.0,0.47916666666666663,0.5208333333333334
hdc_classification,HDC,classification,MISSING_FLIGHT_PARAMETER,sub-cp008,0.9142857142857143,0.35119047619047616,0.5630952380952381
hdc_classification,HDC,classification,MISSING_FLIGHT_PARAMETER,sub-cp009,0.8125,0.29642857142857143,0.5160714285714285
hdc_classification,HDC,classification,MISSING_FLIGHT_PARAMETER,sub-cp011,0.9142857142857143,0.45238095238095233,0.46190476190476193
hdc_classification,HDC,classification,MISSING_FLIGHT_PARAMETER,sub-cp012,0.9142857142857143,0.8285714285714285,0.08571428571428574
hdc_classification,HDC,classification,MISSING_FLIGHT_PARAMETER,sub-cp013,0.7202380952380952,0.2361111111111111,0.48412698412698413
hdc_classification,HDC,classification,MISSING_FLIGHT_PARAMETER,sub-cp014,0.9142857142857144,0.5625,0.35178571428571437
hdc_classification,HDC,classification,MISSING_FLIGHT_PARAMETER,sub-cp015,0.7541666666666667,0.475,0.2791666666666667
hdc_classification,HDC,classification,MISSING_FLIGHT_PARAMETER,sub-cp016,1.0,0.45,0.55
hdc_classification,HDC,classification,MISSING_FLIGHT_PARAMETER,sub-cp017,0.8125,0.23333333333333334,0.5791666666666666
hdc_classification,HDC,classification,MISSING_FLIGHT_PARAMETER,sub-cp018,1.0,0.1,0.9
hdc_classification,HDC,classification,MISSING_FLIGHT_PARAMETER,sub-cp019,1.0,0.4226190476190476,0.5773809523809523
hdc_classification,HDC,classification,MISSING_FLIGHT_PARAMETER,sub-cp020,0.8125,0.45,0.3625
hdc_classification,HDC,classification,MISSING_FLIGHT_PARAMETER,sub-cp022,0.8333333333333333,0.125,0.7083333333333333
hdc_classification,HDC,classification,MISSING_FLIGHT_PARAMETER,sub-cp023,0.9142857142857144,0.2986111111111111,0.6156746031746032
hdc_classification,HDC,classification,MISSING_FLIGHT_PARAMETER,sub-cp024,0.830952380952381,0.16233766233766234,0.6686147186147187
hdc_classification,HDC,classification,MISSING_FLIGHT_PARAMETER,sub-cp025,0.9142857142857143,0.7416666666666667,0.17261904761904756
hdc_classification,HDC,classification,MISSING_FLIGHT_PARAMETER,sub-cp026,1.0,0.29166666666666663,0.7083333333333334
hdc_classification,HDC,classification,MISSING_FLIGHT_PARAMETER,sub-cp027,0.9142857142857144,0.5863636363636364,0.32792207792207795
hdc_classification,HDC,classification,MISSING_FLIGHT_PARAMETER,sub-cp028,0.9142857142857143,0.34226190476190477,0.5720238095238095
hdc_classification,HDC,classification,MISSING_FLIGHT_PARAMETER,sub-cp029,1.0,0.34226190476190477,0.6577380952380952
hdc_classification,HDC,classification,MISSING_FLIGHT_PARAMETER,sub-cp030,0.9142857142857143,0.21969696969696967,0.6945887445887446
hdc_classification,HDC,classification,MISSING_FLIGHT_PARAMETER,sub-cp031,0.9142857142857143,0.07692307692307693,0.8373626373626373
hdc_classification,HDC,classification,MISSING_FLIGHT_PARAMETER,sub-cp032,0.9142857142857144,0.23214285714285715,0.6821428571428572
hdc_classification,HDC,classification,MISSING_FLIGHT_PARAMETER,sub-cp033,0.7309523809523809,0.5928571428571429,0.13809523809523805
hdc_classification,HDC,classification,MISSING_FLIGHT_PARAMETER,sub-cp035,0.9142857142857143,0.1,0.8142857142857143
hdc_classification,HDC,classification,MISSING_FLIGHT_PARAMETER,sub-cp036,0.5113636363636364,0.29924242424242425,0.2121212121212121
hdc_classification,HDC,classification,MISSING_FLIGHT_PARAMETER,sub-cp037,1.0,0.45,0.55
hdc_classification,HDC,classification,MISSING_FLIGHT_PARAMETER,sub-cp038,0.4666666666666667,0.428030303030303,0.03863636363636369
hdc_classification,HDC,classification,MISSING_FLIGHT_PARAMETER,sub-cp039,0.325,0.1625,0.1625
hdc_classification,HDC,classification,MISSING_FLIGHT_PARAMETER,sub-cp042,0.9142857142857143,0.23809523809523808,0.6761904761904762
hdc_classification,HDC,classification,MISSING_FLIGHT_PARAMETER,sub-cp043,0.9142857142857143,0.1984126984126984,0.7158730158730159
hdc_classification,HDC,classification,MISSING_BODY_MOVEMENT,sub-cp003,1.0,1.0,0.0
hdc_classification,HDC,classification,MISSING_BODY_MOVEMENT,sub-cp004,1.0,1.0,0.0
hdc_classification,HDC,classification,MISSING_BODY_MOVEMENT,sub-cp005,0.7476190476190476,0.7476190476190476,0.0
hdc_classification,HDC,classification,MISSING_BODY_MOVEMENT,sub-cp006,1.0,1.0,0.0
hdc_classification,HDC,classification,MISSING_BODY_MOVEMENT,sub-cp008,0.9142857142857143,0.9142857142857143,0.0
hdc_classification,HDC,classification,MISSING_BODY_MOVEMENT,sub-cp009,0.8125,0.7416666666666667,0.0708333333333333
hdc_classification,HDC,classification,MISSING_BODY_MOVEMENT,sub-cp011,0.9142857142857143,0.8125,0.10178571428571426
hdc_classification,HDC,classification,MISSING_BODY_MOVEMENT,sub-cp012,0.9142857142857143,0.9142857142857143,0.0
hdc_classification,HDC,classification,MISSING_BODY_MOVEMENT,sub-cp013,0.7202380952380952,0.41666666666666663,0.3035714285714286
hdc_classification,HDC,classification,MISSING_BODY_MOVEMENT,sub-cp014,0.9142857142857144,1.0,-0.08571428571428563
hdc_classification,HDC,classification,MISSING_BODY_MOVEMENT,sub-cp015,0.7541666666666667,0.8375,-0.08333333333333337
hdc_classification,HDC,classification,MISSING_BODY_MOVEMENT,sub-cp016,1.0,1.0,0.0
hdc_classification,HDC,classification,MISSING_BODY_MOVEMENT,sub-cp017,0.8125,0.7416666666666667,0.0708333333333333
hdc_classification,HDC,classification,MISSING_BODY_MOVEMENT,sub-cp018,1.0,1.0,0.0
hdc_classification,HDC,classification,MISSING_BODY_MOVEMENT,sub-cp019,1.0,1.0,0.0
hdc_classification,HDC,classification,MISSING_BODY_MOVEMENT,sub-cp020,0.8125,0.8125,0.0
hdc_classification,HDC,classification,MISSING_BODY_MOVEMENT,sub-cp022,0.8333333333333333,0.8333333333333333,0.0
hdc_classification,HDC,classification,MISSING_BODY_MOVEMENT,sub-cp023,0.9142857142857144,0.8309523809523809,0.08333333333333348
hdc_classification,HDC,classification,MISSING_BODY_MOVEMENT,sub-cp024,0.830952380952381,0.6553571428571429,0.17559523809523814
hdc_classification,HDC,classification,MISSING_BODY_MOVEMENT,sub-cp025,0.9142857142857143,0.9142857142857143,0.0
hdc_classification,HDC,classification,MISSING_BODY_MOVEMENT,sub-cp026,1.0,1.0,0.0
hdc_classification,HDC,classification,MISSING_BODY_MOVEMENT,sub-cp027,0.9142857142857144,1.0,-0.08571428571428563
hdc_classification,HDC,classification,MISSING_BODY_MOVEMENT,sub-cp028,0.9142857142857143,0.9142857142857143,0.0
hdc_classification,HDC,classification,MISSING_BODY_MOVEMENT,sub-cp029,1.0,1.0,0.0
hdc_classification,HDC,classification,MISSING_BODY_MOVEMENT,sub-cp030,0.9142857142857143,0.8125,0.10178571428571426
hdc_classification,HDC,classification,MISSING_BODY_MOVEMENT,sub-cp031,0.9142857142857143,0.9142857142857143,0.0
hdc_classification,HDC,classification,MISSING_BODY_MOVEMENT,sub-cp032,0.9142857142857144,1.0,-0.08571428571428563
hdc_classification,HDC,classification,MISSING_BODY_MOVEMENT,sub-cp033,0.7309523809523809,0.6666666666666666,0.06428571428571428
hdc_classification,HDC,classification,MISSING_BODY_MOVEMENT,sub-cp035,0.9142857142857143,0.9142857142857143,0.0
hdc_classification,HDC,classification,MISSING_BODY_MOVEMENT,sub-cp036,0.5113636363636364,0.5113636363636364,0.0
hdc_classification,HDC,classification,MISSING_BODY_MOVEMENT,sub-cp037,1.0,1.0,0.0
hdc_classification,HDC,classification,MISSING_BODY_MOVEMENT,sub-cp038,0.4666666666666667,0.4666666666666667,0.0
hdc_classification,HDC,classification,MISSING_BODY_MOVEMENT,sub-cp039,0.325,0.2986111111111111,0.026388888888888906
hdc_classification,HDC,classification,MISSING_BODY_MOVEMENT,sub-cp042,0.9142857142857143,0.9142857142857143,0.0
hdc_classification,HDC,classification,MISSING_BODY_MOVEMENT,sub-cp043,0.9142857142857143,1.0,-0.08571428571428574
traditional_classification,Traditional,classification,MISSING_PHYSIOLOGICAL,sub-cp003,1.0,1.0,0.0
traditional_classification,Traditional,classification,MISSING_PHYSIOLOGICAL,sub-cp004,1.0,1.0,0.0
traditional_classification,Traditional,classification,MISSING_PHYSIOLOGICAL,sub-cp005,0.830952380952381,0.9142857142857143,-0.08333333333333326
traditional_classification,Traditional,classification,MISSING_PHYSIOLOGICAL,sub-cp006,1.0,1.0,0.0
traditional_classification,Traditional,classification,MISSING_PHYSIOLOGICAL,sub-cp008,1.0,1.0,0.0
traditional_classification,Traditional,classification,MISSING_PHYSIOLOGICAL,sub-cp009,1.0,1.0,0.0
traditional_classification,Traditional,classification,MISSING_PHYSIOLOGICAL,sub-cp011,0.9142857142857143,0.9142857142857143,0.0
traditional_classification,Traditional,classification,MISSING_PHYSIOLOGICAL,sub-cp012,1.0,1.0,0.0
traditional_classification,Traditional,classification,MISSING_PHYSIOLOGICAL,sub-cp013,0.830952380952381,0.830952380952381,0.0
traditional_classification,Traditional,classification,MISSING_PHYSIOLOGICAL,sub-cp014,1.0,1.0,0.0
traditional_classification,Traditional,classification,MISSING_PHYSIOLOGICAL,sub-cp015,1.0,1.0,0.0
traditional_classification,Traditional,classification,MISSING_PHYSIOLOGICAL,sub-cp016,1.0,1.0,0.0
traditional_classification,Traditional,classification,MISSING_PHYSIOLOGICAL,sub-cp017,1.0,1.0,0.0
traditional_classification,Traditional,classification,MISSING_PHYSIOLOGICAL,sub-cp018,1.0,1.0,0.0
traditional_classification,Traditional,classification,MISSING_PHYSIOLOGICAL,sub-cp019,1.0,1.0,0.0
traditional_classification,Traditional,classification,MISSING_PHYSIOLOGICAL,sub-cp020,1.0,1.0,0.0
traditional_classification,Traditional,classification,MISSING_PHYSIOLOGICAL,sub-cp022,1.0,1.0,0.0
traditional_classification,Traditional,classification,MISSING_PHYSIOLOGICAL,sub-cp023,0.8309523809523809,0.8309523809523809,0.0
