condition,model_key,model,task,subject_id,test_rows,target_coverage,primary_metric,primary_metric_direction,primary_metric_value,classification_macro_f1,balanced_accuracy,accuracy,severe_error_rate,bounded_mae,bounded_rmse
LOSO,traditional_classification,Traditional,classification,sub-cp018,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,1.0,1.0,1.0,1.0,0.0,,
LOSO,traditional_classification,Traditional,classification,sub-cp019,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,1.0,1.0,1.0,1.0,0.0,,
LOSO,traditional_classification,Traditional,classification,sub-cp020,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,1.0,1.0,1.0,1.0,0.0,,
LOSO,traditional_classification,Traditional,classification,sub-cp022,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,1.0,1.0,1.0,1.0,0.0,,
LOSO,traditional_classification,Traditional,classification,sub-cp023,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333334,0.0,,
LOSO,traditional_classification,Traditional,classification,sub-cp024,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,0.8285714285714286,0.8285714285714286,0.8333333333333333,0.8333333333333334,0.0,,
LOSO,traditional_classification,Traditional,classification,sub-cp025,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,1.0,1.0,1.0,1.0,0.0,,
LOSO,traditional_classification,Traditional,classification,sub-cp026,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,1.0,1.0,1.0,1.0,0.0,,
LOSO,traditional_classification,Traditional,classification,sub-cp027,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,1.0,1.0,1.0,1.0,0.0,,
LOSO,traditional_classification,Traditional,classification,sub-cp028,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,1.0,1.0,1.0,1.0,0.0,,
LOSO,traditional_classification,Traditional,classification,sub-cp029,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,1.0,1.0,1.0,1.0,0.0,,
LOSO,traditional_classification,Traditional,classification,sub-cp030,11,"{""0.0"":3,""1.0"":3,""2.0"":2,""3.0"":3}",macro_f1,higher_is_better,1.0,1.0,1.0,1.0,0.0,,
LOSO,traditional_classification,Traditional,classification,sub-cp031,12,"{""0.0"":2,""1.0"":4,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,0.9142857142857143,0.9142857142857143,0.9375,0.9166666666666666,0.0,,
LOSO,traditional_classification,Traditional,classification,sub-cp032,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,1.0,1.0,1.0,1.0,0.0,,
LOSO,traditional_classification,Traditional,classification,sub-cp033,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,0.830952380952381,0.830952380952381,0.8333333333333333,0.8333333333333334,0.0,,
LOSO,traditional_classification,Traditional,classification,sub-cp035,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,1.0,1.0,1.0,1.0,0.0,,
LOSO,traditional_classification,Traditional,classification,sub-cp036,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,0.8309523809523809,0.8309523809523809,0.8333333333333333,0.8333333333333334,0.0,,
LOSO,traditional_classification,Traditional,classification,sub-cp037,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,0.9142857142857143,0.9142857142857143,0.9166666666666666,0.9166666666666666,0.08333333333333333,,
LOSO,traditional_classification,Traditional,classification,sub-cp038,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,0.8285714285714285,0.8285714285714285,0.8333333333333333,0.8333333333333334,0.0,,
LOSO,traditional_classification,Traditional,classification,sub-cp039,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,0.6553571428571429,0.6553571428571429,0.6666666666666666,0.6666666666666666,0.08333333333333333,,
LOSO,traditional_classification,Traditional,classification,sub-cp042,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,1.0,1.0,1.0,1.0,0.0,,
LOSO,traditional_classification,Traditional,classification,sub-cp043,12,"{""0.0"":3,""1.0"":3,""2.0"":3,""3.0"":3}",macro_f1,higher_is_better,1.0,1.0,1.0,1.0,0.0,,
LOSO,traditional_regression,Traditional,regression,sub-cp003,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.013659772858600205,,,,0.0,0.013659772858600205,0.018193589950066844
LOSO,traditional_regression,Traditional,regression,sub-cp004,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.025423424317919035,,,,0.0,0.025423424317919035,0.042285148037187775
LOSO,traditional_regression,Traditional,regression,sub-cp005,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.04693868597537718,,,,0.0,0.04693868597537718,0.11412772755261787
LOSO,traditional_regression,Traditional,regression,sub-cp006,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.02907971989689584,,,,0.0,0.02907971989689584,0.057620902852063026
LOSO,traditional_regression,Traditional,regression,sub-cp008,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.037258721072920976,,,,0.0,0.037258721072920976,0.06628438025827603
LOSO,traditional_regression,Traditional,regression,sub-cp009,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.16532887009524386,,,,0.0,0.16532887009524386,0.2427637428885217
LOSO,traditional_regression,Traditional,regression,sub-cp011,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.08778824259661201,,,,0.0,0.08778824259661201,0.15513499998530997
LOSO,traditional_regression,Traditional,regression,sub-cp012,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.04931414499985167,,,,0.0,0.04931414499985167,0.054185999271680316
LOSO,traditional_regression,Traditional,regression,sub-cp013,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.2627814873006143,,,,0.0,0.2627814873006143,0.3582161218305185
LOSO,traditional_regression,Traditional,regression,sub-cp014,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.11698131582089973,,,,0.0,0.11698131582089973,0.1636171457949788
LOSO,traditional_regression,Traditional,regression,sub-cp015,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.10024203122086782,,,,0.0,0.10024203122086782,0.1619378173692701
LOSO,traditional_regression,Traditional,regression,sub-cp016,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.008399747542384373,,,,0.0,0.008399747542384373,0.013209173354756158
LOSO,traditional_regression,Traditional,regression,sub-cp017,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.041740975821173164,,,,0.0,0.041740975821173164,0.09730255131279274
LOSO,traditional_regression,Traditional,regression,sub-cp018,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.11819866856943977,,,,0.0,0.11819866856943977,0.2212813848283915
LOSO,traditional_regression,Traditional,regression,sub-cp019,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.03800977296350742,,,,0.0,0.03800977296350742,0.05105628220932251
LOSO,traditional_regression,Traditional,regression,sub-cp020,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.03906204148421153,,,,0.0,0.03906204148421153,0.05463618343955809
LOSO,traditional_regression,Traditional,regression,sub-cp022,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.04454007238081942,,,,0.0,0.04454007238081942,0.059918315193182074
LOSO,traditional_regression,Traditional,regression,sub-cp023,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.3244930401817669,,,,0.08333333333333333,0.3244930401817669,0.5806195195816864
LOSO,traditional_regression,Traditional,regression,sub-cp024,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.18311109013890148,,,,0.0,0.18311109013890148,0.32691622979712204
LOSO,traditional_regression,Traditional,regression,sub-cp025,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.025077325623546514,,,,0.0,0.025077325623546514,0.0472465712732465
LOSO,traditional_regression,Traditional,regression,sub-cp026,12,"{""1.0"":3,""2.0"":3,""3.0"":3,""4.0"":3}",bounded_mae,lower_is_better,0.012457219351958463,,,,0.0,0.012457219351958463,0.01781730343061357
