model_key,model,task,subject_id,seed_count,seed_mean,seed_sd_sample,seed_min,seed_max,seed_range,seed_instability_flag_top_quartile
hdc_regression,HDC,regression,sub-cp013,5,0.7132898183333334,0.04243776475537003,0.6640439583333334,0.7701548666666665,0.10611090833333314,True
hdc_regression,HDC,regression,sub-cp014,5,0.26896170666666663,0.029251498656441974,0.23209149999999998,0.30609165,0.07400015000000001,False
hdc_regression,HDC,regression,sub-cp015,5,0.24630229833333334,0.030307613305000293,0.20603781666666668,0.2891599166666667,0.0831221,False
hdc_regression,HDC,regression,sub-cp016,5,0.2128634133333333,0.026548248251073162,0.18684975000000004,0.24979488333333325,0.06294513333333321,False
hdc_regression,HDC,regression,sub-cp017,5,0.11730619333333332,0.026207564414193016,0.09682122499999994,0.15985611666666663,0.06303489166666669,False
hdc_regression,HDC,regression,sub-cp018,5,0.11802884166666665,0.015433036187128863,0.09910207500000001,0.141384025,0.042281949999999985,False
hdc_regression,HDC,regression,sub-cp019,5,0.21376460000000003,0.01687957006676373,0.19942934999999995,0.2378149416666667,0.038385591666666746,False
hdc_regression,HDC,regression,sub-cp020,5,0.21415981833333336,0.019831604301769407,0.18368219166666666,0.23217446666666672,0.04849227500000006,False
hdc_regression,HDC,regression,sub-cp022,5,0.3054538316666667,0.024292970479149186,0.28313806666666663,0.33359570833333335,0.05045764166666672,False
hdc_regression,HDC,regression,sub-cp023,5,0.3446070216666667,0.03347377266862599,0.30772895000000006,0.39019897499999995,0.08247002499999989,False
hdc_regression,HDC,regression,sub-cp024,5,0.27107207666666666,0.04288054077938438,0.21908569999999994,0.33497103333333333,0.1158853333333334,True
hdc_regression,HDC,regression,sub-cp025,5,0.08581839499999999,0.02241385763121517,0.04789979999999997,0.10172865833333333,0.05382885833333336,False
hdc_regression,HDC,regression,sub-cp026,5,0.14996289333333335,0.026289643805678026,0.11952201666666663,0.1889490916666667,0.06942707500000007,False
hdc_regression,HDC,regression,sub-cp027,5,0.17211754,0.013404925735247996,0.15345127500000003,0.1862989666666667,0.03284769166666668,False
hdc_regression,HDC,regression,sub-cp028,5,0.21427743833333332,0.012799708856108094,0.19751027499999999,0.22763815833333334,0.030127883333333355,False
hdc_regression,HDC,regression,sub-cp029,5,0.149022445,0.02244343163972788,0.11236407500000001,0.17067245833333333,0.058308383333333325,False
hdc_regression,HDC,regression,sub-cp030,5,0.24438619818181814,0.03192634660180087,0.20943899090909088,0.2922523454545454,0.08281335454545455,False
hdc_regression,HDC,regression,sub-cp031,5,0.1996785766666667,0.015336081231382706,0.18115258333333337,0.22105330833333334,0.03990072499999997,False
hdc_regression,HDC,regression,sub-cp032,5,0.29594471333333333,0.025988836450344683,0.25149520833333333,0.31658633333333336,0.06509112500000003,False
hdc_regression,HDC,regression,sub-cp033,5,0.500139365,0.03726114634803672,0.4469071333333332,0.5460557,0.09914856666666683,True
hdc_regression,HDC,regression,sub-cp035,5,0.1932127966666667,0.03352811953178237,0.14189589166666666,0.23518295833333333,0.09328706666666667,False
hdc_regression,HDC,regression,sub-cp036,5,0.42685843833333326,0.03264182539920483,0.38402866666666663,0.4718202249999999,0.0877915583333333,False
hdc_regression,HDC,regression,sub-cp037,5,0.1483421483333333,0.030499899095480548,0.10788750833333328,0.18474880833333338,0.07686130000000009,False
hdc_regression,HDC,regression,sub-cp038,5,0.48512565333333324,0.04502164213905201,0.42034574166666666,0.5298474750000001,0.1095017333333334,True
hdc_regression,HDC,regression,sub-cp039,5,0.7815091599999999,0.05057869361398849,0.6971468083333333,0.8317905249999998,0.13464371666666652,True
hdc_regression,HDC,regression,sub-cp042,5,0.19510084500000002,0.027401721255539246,0.17131680000000002,0.2254135083333333,0.05409670833333327,False
hdc_regression,HDC,regression,sub-cp043,5,0.26416367166666666,0.03985888152692817,0.2114155333333333,0.29685797500000005,0.08544244166666676,True
