variant,outer_fold,dimension,seed,selected_temperature,macro_f1,balanced_accuracy,mae_bounded,rmse_bounded,model_bytes,checkpoint_sha256,status
onlinehd,2,10000,42,0.05,0.6314815845109603,0.6989177489177489,0.3891611991217071,0.5633019646411527,160000,29b2473d2faebd988f83aec8605e1456ae4ae55920318a98d3f074d3824c7f27,COMPLETE
onlinehd,2,10000,43,0.05,0.6061708415423586,0.6637987012987012,0.45435232963439853,0.5536570155157575,160000,1ca8ed5bbaa11681440f68e77fa5bd0257b6cc38d632b85af20fc8bb7ad119b7,COMPLETE
onlinehd,2,10000,44,0.05,0.5707685832685832,0.6346861471861472,0.7050075326452676,0.8369023695920591,160000,6cea287ada04a58059296b9ae0e9f4afd19402353133a3692bf58e014f6c6a6b,COMPLETE
onlinehd,2,10000,45,0.05,0.5397428617780662,0.6185064935064934,0.4632672610441914,0.5783053935569525,160000,2e80a54821a84cc01f3f335c30d478d517c2156cfa887aa95b07242bb05aa763,COMPLETE
onlinehd,2,10000,46,0.05,0.8109866072626749,0.8114718614718615,0.4601057204996828,0.5846055679790988,160000,50d7abc750a755254f87d8543767ab324e1ce8d81d42b63e17ef4161d9eeefcd,COMPLETE
onlinehd,3,1000,42,0.05,0.3582616707616708,0.4523809523809524,0.588126602301992,0.721429681776882,16000,24e1f695ef493badc60315bf40cf2281060fd5b3ba843ccf14b52e55774f11f4,COMPLETE
onlinehd,3,1000,43,0.05,0.7804230317273796,0.7857142857142857,0.3181561617865662,0.43345096589078785,16000,6310d62164906eb74d46425b0b6c8fa8d97b0580bddd36086892c9ebe134fb55,COMPLETE
onlinehd,3,1000,44,0.05,0.5992369186046511,0.6785714285714286,0.4422400978680356,0.5982898374603193,16000,74de9274c37a2a68e09d2f70c7c4469c57a7f696d9bba81a58143b302d5932fb,COMPLETE
onlinehd,3,1000,45,0.05,0.6608507716097904,0.6904761904761905,0.39761145795979336,0.5880844023918967,16000,6c28cf8d3a2dc6711880daf481c14b0bfb4f651b1e6eb926e64af4cc26f6ac01,COMPLETE
onlinehd,3,1000,46,0.05,0.5493393009377664,0.6309523809523809,0.3443883198994645,0.4920396885597789,16000,c0fdab70a8d01e0f8937dd9095dd8ebe1fd93fd3e8a0445449547a56e4192871,COMPLETE
onlinehd,3,2000,42,0.05,0.6966666666666665,0.7261904761904762,0.39952354504611937,0.546234275176412,32000,01817074f76b86210480e416aabf75d8788654fca6419de218d5908e86c76285,COMPLETE
onlinehd,3,2000,43,0.05,0.1236888111888112,0.2619047619047619,0.8385038368450003,0.9966028568923184,32000,0a466e1989b99e9ec48707a29da78cea15dd9d19f994da119bcaeba83a9a0a39,COMPLETE
onlinehd,3,2000,44,0.05,0.5965700965700966,0.6666666666666666,0.46966566545630717,0.5941368887699953,32000,e937f73514d61054210b4eacbe2ed7af07d9c72bc7592a5cede9930a06c73818,COMPLETE
onlinehd,3,2000,45,0.05,0.36296296296296293,0.5,0.4923128606315926,0.6532625393404072,32000,46477716e406dbe4378b771948df5e9ff5f6425a79ddb4d03083e8beef3f09aa,COMPLETE
