task,variant,head,dimension,seed,performance_metric,performance_value,performance_direction,total_runtime_seconds,peak_memory_bytes,model_size_bytes,pareto_dimensions,memory_pareto_available,is_pareto
regression,hybrid,similarity,1000,43,mae_bounded,0.5886165772584957,minimize,4.271608600043692,NOT_AVAILABLE,48000.0,performance_time_2d,False,False
regression,hybrid,similarity,1000,44,mae_bounded,0.5550079719206403,minimize,4.352699800016126,NOT_AVAILABLE,48000.0,performance_time_2d,False,False
regression,hybrid,similarity,1000,45,mae_bounded,0.5841139333400681,minimize,4.265503599977819,NOT_AVAILABLE,48000.0,performance_time_2d,False,False
regression,hybrid,similarity,1000,46,mae_bounded,0.596001802542805,minimize,4.5398217999900226,NOT_AVAILABLE,48000.0,performance_time_2d,False,False
regression,hybrid,similarity,2000,42,mae_bounded,0.5736088156796159,minimize,4.5664766000409145,NOT_AVAILABLE,96000.0,performance_time_2d,False,False
regression,hybrid,similarity,2000,43,mae_bounded,0.5643853673972713,minimize,4.586994600045728,NOT_AVAILABLE,96000.0,performance_time_2d,False,False
regression,hybrid,similarity,2000,44,mae_bounded,0.5638002531466003,minimize,4.691390500054695,NOT_AVAILABLE,96000.0,performance_time_2d,False,False
regression,hybrid,similarity,2000,45,mae_bounded,0.5687946134796064,minimize,4.584524100006092,NOT_AVAILABLE,96000.0,performance_time_2d,False,False
regression,hybrid,similarity,2000,46,mae_bounded,0.5695218279010542,minimize,4.866471699991962,NOT_AVAILABLE,96000.0,performance_time_2d,False,False
regression,hybrid,similarity,5000,42,mae_bounded,0.5775537452437554,minimize,5.305271200108109,NOT_AVAILABLE,240000.0,performance_time_2d,False,False
regression,hybrid,similarity,5000,43,mae_bounded,0.5764662535713921,minimize,5.348847800050862,NOT_AVAILABLE,240000.0,performance_time_2d,False,False
regression,hybrid,similarity,5000,44,mae_bounded,0.5653046973296134,minimize,5.483660400059307,NOT_AVAILABLE,240000.0,performance_time_2d,False,False
regression,hybrid,similarity,5000,45,mae_bounded,0.5584452886964808,minimize,5.30228740000166,NOT_AVAILABLE,240000.0,performance_time_2d,False,False
regression,hybrid,similarity,5000,46,mae_bounded,0.5875904858195811,minimize,5.7027811000007205,NOT_AVAILABLE,240000.0,performance_time_2d,False,False
regression,hybrid,similarity,10000,42,mae_bounded,0.5747887285949456,minimize,6.700921000097878,NOT_AVAILABLE,480000.0,performance_time_2d,False,False
regression,hybrid,similarity,10000,43,mae_bounded,0.5536598646406822,minimize,6.708267700072611,NOT_AVAILABLE,480000.0,performance_time_2d,False,False
regression,hybrid,similarity,10000,44,mae_bounded,0.5873008128712506,minimize,6.844886199978646,NOT_AVAILABLE,480000.0,performance_time_2d,False,False
regression,hybrid,similarity,10000,45,mae_bounded,0.5657894711485936,minimize,6.682097300013993,NOT_AVAILABLE,480000.0,performance_time_2d,False,False
regression,hybrid,similarity,10000,46,mae_bounded,0.5493169857088057,minimize,7.125179600057891,NOT_AVAILABLE,480000.0,performance_time_2d,False,False
regression,multicentroid,similarity,1000,42,mae_bounded,0.7146610399763156,minimize,4.065749200002755,NOT_AVAILABLE,48000.0,performance_time_2d,False,False
regression,multicentroid,similarity,1000,43,mae_bounded,0.7314875021498795,minimize,3.8791255999822165,NOT_AVAILABLE,48000.0,performance_time_2d,False,False
regression,multicentroid,similarity,1000,44,mae_bounded,0.7049824482876508,minimize,3.9348676999215964,NOT_AVAILABLE,48000.0,performance_time_2d,False,False
regression,multicentroid,similarity,1000,45,mae_bounded,0.7299535159785986,minimize,4.1754208999627735,NOT_AVAILABLE,48000.0,performance_time_2d,False,False
regression,multicentroid,similarity,1000,46,mae_bounded,0.714528226917316,minimize,4.1897359999711625,NOT_AVAILABLE,48000.0,performance_time_2d,False,False
regression,multicentroid,similarity,2000,42,mae_bounded,0.730833627280639,minimize,4.416572799993446,NOT_AVAILABLE,96000.0,performance_time_2d,False,False
regression,multicentroid,similarity,2000,43,mae_bounded,0.7215952721208645,minimize,4.214746700017713,NOT_AVAILABLE,96000.0,performance_time_2d,False,False
regression,multicentroid,similarity,2000,44,mae_bounded,0.7096046974805069,minimize,4.282916199910686,NOT_AVAILABLE,96000.0,performance_time_2d,False,False
regression,multicentroid,similarity,2000,45,mae_bounded,0.7305575942074264,minimize,4.53750679991208,NOT_AVAILABLE,96000.0,performance_time_2d,False,False
regression,multicentroid,similarity,2000,46,mae_bounded,0.706351841360644,minimize,4.523090699978638,NOT_AVAILABLE,96000.0,performance_time_2d,False,False
regression,multicentroid,similarity,5000,42,mae_bounded,0.7165979731106876,minimize,5.243597300053807,NOT_AVAILABLE,240000.0,performance_time_2d,False,False
regression,multicentroid,similarity,5000,43,mae_bounded,0.7297719022924338,minimize,4.9881930999981705,NOT_AVAILABLE,240000.0,performance_time_2d,False,False
regression,multicentroid,similarity,5000,44,mae_bounded,0.7311354141676493,minimize,5.1347140998987015,NOT_AVAILABLE,240000.0,performance_time_2d,False,False
regression,multicentroid,similarity,5000,45,mae_bounded,0.7244821753199948,minimize,5.421237699949415,NOT_AVAILABLE,240000.0,performance_time_2d,False,False
regression,multicentroid,similarity,5000,46,mae_bounded,0.7078823453160836,minimize,5.350197799940361,NOT_AVAILABLE,240000.0,performance_time_2d,False,False
regression,multicentroid,similarity,10000,42,mae_bounded,0.7199519213063162,minimize,6.617951700027334,NOT_AVAILABLE,480000.0,performance_time_2d,False,False
regression,multicentroid,similarity,10000,43,mae_bounded,0.7221211182723574,minimize,6.426279100007378,NOT_AVAILABLE,480000.0,performance_time_2d,False,False
regression,multicentroid,similarity,10000,44,mae_bounded,0.7271264463816054,minimize,6.565750299952924,NOT_AVAILABLE,480000.0,performance_time_2d,False,False
regression,multicentroid,similarity,10000,45,mae_bounded,0.7243891879222585,minimize,6.810587799962377,NOT_AVAILABLE,480000.0,performance_time_2d,False,False
regression,multicentroid,similarity,10000,46,mae_bounded,0.7150902205510353,minimize,6.695673799986253,NOT_AVAILABLE,480000.0,performance_time_2d,False,False
regression,onlinehd,similarity,1000,42,mae_bounded,0.4649790510515099,minimize,3.796173999959137,NOT_AVAILABLE,16000.0,performance_time_2d,False,False
regression,onlinehd,similarity,1000,43,mae_bounded,0.44013138717650757,minimize,3.789225899992743,NOT_AVAILABLE,16000.0,performance_time_2d,False,False
regression,onlinehd,similarity,1000,44,mae_bounded,0.45975694717148535,minimize,3.8090656999847847,NOT_AVAILABLE,16000.0,performance_time_2d,False,False
regression,onlinehd,similarity,1000,45,mae_bounded,0.40267797675626504,minimize,3.891691300028469,NOT_AVAILABLE,16000.0,performance_time_2d,False,False
regression,onlinehd,similarity,1000,46,mae_bounded,0.4092707680096915,minimize,3.7820564000285226,NOT_AVAILABLE,16000.0,performance_time_2d,False,False
regression,onlinehd,similarity,2000,42,mae_bounded,0.37732241331531513,minimize,3.8342420999542806,NOT_AVAILABLE,32000.0,performance_time_2d,False,False
regression,onlinehd,similarity,2000,43,mae_bounded,0.48088006247880527,minimize,3.806570799933979,NOT_AVAILABLE,32000.0,performance_time_2d,False,False
regression,onlinehd,similarity,2000,44,mae_bounded,0.4462920627451997,minimize,3.832330100005492,NOT_AVAILABLE,32000.0,performance_time_2d,False,False
regression,onlinehd,similarity,2000,45,mae_bounded,0.4523656674120428,minimize,3.9198901000490873,NOT_AVAILABLE,32000.0,performance_time_2d,False,False
regression,onlinehd,similarity,2000,46,mae_bounded,0.4912921108408591,minimize,3.804732800024794,NOT_AVAILABLE,32000.0,performance_time_2d,False,False
regression,onlinehd,similarity,5000,42,mae_bounded,0.362317385222937,minimize,3.8985771999869026,NOT_AVAILABLE,80000.0,performance_time_2d,False,False
regression,onlinehd,similarity,5000,43,mae_bounded,0.38796773215451397,minimize,3.8742430999118365,NOT_AVAILABLE,80000.0,performance_time_2d,False,False
regression,onlinehd,similarity,5000,44,mae_bounded,0.37583665808617417,minimize,3.900890800025081,NOT_AVAILABLE,80000.0,performance_time_2d,False,False
regression,onlinehd,similarity,5000,45,mae_bounded,0.4286453590385433,minimize,3.9791371000465,NOT_AVAILABLE,80000.0,performance_time_2d,False,False
regression,onlinehd,similarity,5000,46,mae_bounded,0.39394390984725897,minimize,3.8694078000262375,NOT_AVAILABLE,80000.0,performance_time_2d,False,False
regression,onlinehd,similarity,10000,42,mae_bounded,0.4525472686304587,minimize,3.992767200019443,NOT_AVAILABLE,160000.0,performance_time_2d,False,False
regression,onlinehd,similarity,10000,43,mae_bounded,0.44147813188279966,minimize,3.9659645999781783,NOT_AVAILABLE,160000.0,performance_time_2d,False,False
regression,onlinehd,similarity,10000,44,mae_bounded,0.5027961425711069,minimize,3.9901557000121097,NOT_AVAILABLE,160000.0,performance_time_2d,False,False
regression,onlinehd,similarity,10000,45,mae_bounded,0.43096626341886085,minimize,4.068648400017992,NOT_AVAILABLE,160000.0,performance_time_2d,False,False
regression,onlinehd,similarity,10000,46,mae_bounded,0.4613819768897507,minimize,3.956755600054748,NOT_AVAILABLE,160000.0,performance_time_2d,False,False
regression,vanilla,similarity,1000,42,mae_bounded,0.6917396683192365,minimize,3.638644775037391,4703200,35072.0,performance_time_2d,False,False
regression,vanilla,similarity,1000,43,mae_bounded,0.7060403199877392,minimize,3.625773499989009,4703200,34753.0,performance_time_2d,False,False
regression,vanilla,similarity,1000,44,mae_bounded,0.6918859221608186,minimize,3.644618174985225,4703200,35933.0,performance_time_2d,False,False
regression,vanilla,similarity,1000,45,mae_bounded,0.7179528933582237,minimize,3.6306762500134937,4703200,36379.0,performance_time_2d,False,False
regression,vanilla,similarity,1000,46,mae_bounded,0.7037744760573271,minimize,3.660647824985062,4703200,34587.0,performance_time_2d,False,False
regression,vanilla,similarity,2000,42,mae_bounded,0.7023510352432277,minimize,3.671249375063781,4703200,65412.0,performance_time_2d,False,False
regression,vanilla,similarity,2000,43,mae_bounded,0.7031113000581468,minimize,3.651797600010468,4703200,65494.0,performance_time_2d,False,False
regression,vanilla,similarity,2000,44,mae_bounded,0.6905147726398422,minimize,3.674611574962909,4703200,66962.0,performance_time_2d,False,False
regression,vanilla,similarity,2000,45,mae_bounded,0.710568818787447,minimize,3.665426550051052,4703200,67211.0,performance_time_2d,False,False
regression,vanilla,similarity,2000,46,mae_bounded,0.6931025570734121,minimize,3.696746025041648,4703200,67358.0,performance_time_2d,False,False
regression,vanilla,similarity,5000,42,mae_bounded,0.6911658281267683,minimize,3.8070651750131215,5481744,158491.0,performance_time_2d,False,False
regression,vanilla,similarity,5000,43,mae_bounded,0.7038506601185812,minimize,3.796414399977947,5481744,156505.0,performance_time_2d,False,False
regression,vanilla,similarity,5000,44,mae_bounded,0.7098372227205263,minimize,3.815043075002904,5481744,158671.0,performance_time_2d,False,False
regression,vanilla,similarity,5000,45,mae_bounded,0.7088600166854204,minimize,3.7930898500162575,5481744,157922.0,performance_time_2d,False,False
regression,vanilla,similarity,5000,46,mae_bounded,0.6898499187361173,minimize,3.833174725001299,5481744,158728.0,performance_time_2d,False,False
regression,vanilla,similarity,10000,42,mae_bounded,0.69892034262401,minimize,3.962311974999465,10941744,309995.0,performance_time_2d,False,False
regression,vanilla,similarity,10000,43,mae_bounded,0.700210042725566,minimize,3.950919099974272,10941744,309823.0,performance_time_2d,False,False
regression,vanilla,similarity,10000,44,mae_bounded,0.7072418659747978,minimize,3.961971574994095,10941744,310020.0,performance_time_2d,False,False
regression,vanilla,similarity,10000,45,mae_bounded,0.7031011488570817,minimize,3.9703854499930458,10941744,308937.0,performance_time_2d,False,False
regression,vanilla,similarity,10000,46,mae_bounded,0.6979682905609311,minimize,3.976876525015541,10941744,309496.0,performance_time_2d,False,False
regression,common_ridge,COMMON_ENCODER_READOUT_BASELINE,1000,42,mae_bounded,0.3395560663875353,minimize,3.638644775037391,4703200,35072.0,performance_time_2d,False,True
regression,common_ridge,COMMON_ENCODER_READOUT_BASELINE,1000,43,mae_bounded,0.3506734749855024,minimize,3.625773499989009,4703200,34753.0,performance_time_2d,False,True
regression,common_ridge,COMMON_ENCODER_READOUT_BASELINE,1000,44,mae_bounded,0.3480290748849355,minimize,3.644618174985225,4703200,35933.0,performance_time_2d,False,False
regression,common_ridge,COMMON_ENCODER_READOUT_BASELINE,1000,45,mae_bounded,0.36641395277427585,minimize,3.6306762500134937,4703200,36379.0,performance_time_2d,False,False
regression,common_ridge,COMMON_ENCODER_READOUT_BASELINE,1000,46,mae_bounded,0.34710449977175883,minimize,3.660647824985062,4703200,34587.0,performance_time_2d,False,False
regression,common_ridge,COMMON_ENCODER_READOUT_BASELINE,2000,42,mae_bounded,0.3271038194565804,minimize,3.671249375063781,4703200,65412.0,performance_time_2d,False,True
regression,common_ridge,COMMON_ENCODER_READOUT_BASELINE,2000,43,mae_bounded,0.333667544244118,minimize,3.651797600010468,4703200,65494.0,performance_time_2d,False,True
regression,common_ridge,COMMON_ENCODER_READOUT_BASELINE,2000,44,mae_bounded,0.3198551734694731,minimize,3.674611574962909,4703200,66962.0,performance_time_2d,False,True
regression,common_ridge,COMMON_ENCODER_READOUT_BASELINE,2000,45,mae_bounded,0.3357205621822572,minimize,3.665426550051052,4703200,67211.0,performance_time_2d,False,False
regression,common_ridge,COMMON_ENCODER_READOUT_BASELINE,2000,46,mae_bounded,0.3239310708463507,minimize,3.696746025041648,4703200,67358.0,performance_time_2d,False,False
regression,common_ridge,COMMON_ENCODER_READOUT_BASELINE,5000,42,mae_bounded,0.2843820847423422,minimize,3.8070651750131215,5481744,158491.0,performance_time_2d,False,True
regression,common_ridge,COMMON_ENCODER_READOUT_BASELINE,5000,43,mae_bounded,0.29921827176315996,minimize,3.796414399977947,5481744,156505.0,performance_time_2d,False,False
regression,common_ridge,COMMON_ENCODER_READOUT_BASELINE,5000,44,mae_bounded,0.3000789332052196,minimize,3.815043075002904,5481744,158671.0,performance_time_2d,False,False
regression,common_ridge,COMMON_ENCODER_READOUT_BASELINE,5000,45,mae_bounded,0.298703438044445,minimize,3.7930898500162575,5481744,157922.0,performance_time_2d,False,True
regression,common_ridge,COMMON_ENCODER_READOUT_BASELINE,5000,46,mae_bounded,0.28588971877075586,minimize,3.833174725001299,5481744,158728.0,performance_time_2d,False,False
regression,common_ridge,COMMON_ENCODER_READOUT_BASELINE,10000,42,mae_bounded,0.2680685764716566,minimize,3.962311974999465,10941744,309995.0,performance_time_2d,False,True
regression,common_ridge,COMMON_ENCODER_READOUT_BASELINE,10000,43,mae_bounded,0.2820949113243607,minimize,3.950919099974272,10941744,309823.0,performance_time_2d,False,True
regression,common_ridge,COMMON_ENCODER_READOUT_BASELINE,10000,44,mae_bounded,0.28163596039854194,minimize,3.961971574994095,10941744,310020.0,performance_time_2d,False,True
regression,common_ridge,COMMON_ENCODER_READOUT_BASELINE,10000,45,mae_bounded,0.2790776502548115,minimize,3.9703854499930458,10941744,308937.0,performance_time_2d,False,False
regression,common_ridge,COMMON_ENCODER_READOUT_BASELINE,10000,46,mae_bounded,0.27107267043041117,minimize,3.976876525015541,10941744,309496.0,performance_time_2d,False,False
