variant,regression_head,dimension,seed,oof_rows,mae_raw,mae_bounded,rmse_bounded,r2_bounded,spearman_bounded
onlinehd,similarity,5000,42,419,0.362317385222937,0.362317385222937,0.522989376857387,0.7807668560354964,0.8803672291359733
onlinehd,similarity,5000,43,419,0.38796773215451397,0.38796773215451397,0.5213894476992624,0.782106160412463,0.8955615809807963
onlinehd,similarity,5000,44,419,0.37583665808617417,0.37583665808617417,0.5267714998940074,0.7775845165083124,0.8800743204870903
onlinehd,similarity,5000,45,419,0.4286453590385433,0.4286453590385433,0.5806274830592013,0.7297811419043703,0.8635594788317289
onlinehd,similarity,5000,46,419,0.39394390984725897,0.39394390984725897,0.5513796620672349,0.7563188346358154,0.8751831588354363
onlinehd,similarity,10000,42,419,0.4525472686304587,0.4525472686304587,0.627141903076359,0.6847521624134789,0.8317202160321847
onlinehd,similarity,10000,43,419,0.44147813188279966,0.44147813188279966,0.5984800746044826,0.7129088077108201,0.8469839830989457
onlinehd,similarity,10000,44,419,0.5027961425711069,0.5027961425711069,0.6789402574968386,0.6305262413363295,0.780132154107629
onlinehd,similarity,10000,45,419,0.43096626341886085,0.43096626341886085,0.592405736822883,0.7187069589142014,0.8486582883611119
onlinehd,similarity,10000,46,419,0.4613819768897507,0.4613819768897507,0.637031153914405,0.6747316391634601,0.8285390781549562
vanilla,similarity,1000,42,419,0.6917396683192365,0.6917396683192365,0.8014510648847916,0.4851573728818378,0.8106617942855062
vanilla,similarity,1000,43,419,0.7060403199877392,0.7060403199877392,0.8188458846596662,0.4625663952793345,0.7740197394554404
vanilla,similarity,1000,44,419,0.6918859221608186,0.6918859221608186,0.8072869168519322,0.4776323112775953,0.8073286000058519
vanilla,similarity,1000,45,419,0.7179528933582237,0.7179528933582237,0.8326910859676149,0.44423869171086594,0.7774262240786459
vanilla,similarity,1000,46,419,0.7037744760573271,0.7037744760573271,0.8154656488916341,0.46699434127729555,0.8156679459589392
vanilla,similarity,2000,42,419,0.7023510352432277,0.7023510352432277,0.811416454089054,0.4722744787451485,0.8049320057717205
vanilla,similarity,2000,43,419,0.7031113000581468,0.7031113000581468,0.8157330620647015,0.46664471010688624,0.7819750271599635
vanilla,similarity,2000,44,419,0.6905147726398422,0.6905147726398422,0.8036661835379502,0.4823075082402615,0.8007483907815472
vanilla,similarity,2000,45,419,0.710568818787447,0.710568818787447,0.8237602303467657,0.4560961668287691,0.7840171320082737
vanilla,similarity,2000,46,419,0.6931025570734121,0.6931025570734121,0.8036005887075349,0.4823920123940614,0.810040932409674
vanilla,similarity,5000,42,419,0.6911658281267683,0.6911658281267683,0.8018801717169424,0.4846059190482097,0.8049454844555921
vanilla,similarity,5000,43,419,0.7038506601185812,0.7038506601185812,0.815332675114834,0.4671681560711348,0.7941664124799843
vanilla,similarity,5000,44,419,0.7098372227205263,0.7098372227205263,0.8207094199027577,0.4601174213698377,0.7966961087173471
vanilla,similarity,5000,45,419,0.7088600166854204,0.7088600166854204,0.8218540039125597,0.45861050101425527,0.7892904143476855
vanilla,similarity,5000,46,419,0.6898499187361173,0.6898499187361173,0.8011439529796618,0.48555186734991296,0.8124237952346114
vanilla,similarity,10000,42,419,0.69892034262401,0.69892034262401,0.8090762385233381,0.4753141276121584,0.8018026765856232
vanilla,similarity,10000,43,419,0.700210042725566,0.700210042725566,0.8119555554130482,0.4715730090246425,0.7969804247052622
vanilla,similarity,10000,44,419,0.7072418659747978,0.7072418659747978,0.8182682909413223,0.46332431273175034,0.7959489684219938
vanilla,similarity,10000,45,419,0.7031011488570817,0.7031011488570817,0.8146922947283319,0.468004823295749,0.7978449137920721
vanilla,similarity,10000,46,419,0.6979682905609311,0.6979682905609311,0.8095835807125384,0.47465589856739165,0.8010458484862369
