variant,dimension,seed,fit_time_seconds,prediction_time_seconds,total_runtime_seconds,peak_memory_bytes,peak_memory_scope,model_size_bytes,encoding_throughput_rows_per_second,source
multicentroid,10000,42,NOT_AVAILABLE,NOT_AVAILABLE,6.617951700027334,NOT_AVAILABLE,NOT_AVAILABLE,480000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
multicentroid,10000,43,NOT_AVAILABLE,NOT_AVAILABLE,6.426279100007378,NOT_AVAILABLE,NOT_AVAILABLE,480000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
multicentroid,10000,44,NOT_AVAILABLE,NOT_AVAILABLE,6.565750299952924,NOT_AVAILABLE,NOT_AVAILABLE,480000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
multicentroid,10000,45,NOT_AVAILABLE,NOT_AVAILABLE,6.810587799962377,NOT_AVAILABLE,NOT_AVAILABLE,480000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
multicentroid,10000,46,NOT_AVAILABLE,NOT_AVAILABLE,6.695673799986253,NOT_AVAILABLE,NOT_AVAILABLE,480000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
hybrid,1000,42,NOT_AVAILABLE,NOT_AVAILABLE,4.250670100067509,NOT_AVAILABLE,NOT_AVAILABLE,48000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
hybrid,1000,43,NOT_AVAILABLE,NOT_AVAILABLE,4.271608600043692,NOT_AVAILABLE,NOT_AVAILABLE,48000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
hybrid,1000,44,NOT_AVAILABLE,NOT_AVAILABLE,4.352699800016126,NOT_AVAILABLE,NOT_AVAILABLE,48000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
hybrid,1000,45,NOT_AVAILABLE,NOT_AVAILABLE,4.265503599977819,NOT_AVAILABLE,NOT_AVAILABLE,48000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
hybrid,1000,46,NOT_AVAILABLE,NOT_AVAILABLE,4.5398217999900226,NOT_AVAILABLE,NOT_AVAILABLE,48000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
hybrid,2000,42,NOT_AVAILABLE,NOT_AVAILABLE,4.5664766000409145,NOT_AVAILABLE,NOT_AVAILABLE,96000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
hybrid,2000,43,NOT_AVAILABLE,NOT_AVAILABLE,4.586994600045728,NOT_AVAILABLE,NOT_AVAILABLE,96000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
hybrid,2000,44,NOT_AVAILABLE,NOT_AVAILABLE,4.691390500054695,NOT_AVAILABLE,NOT_AVAILABLE,96000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
hybrid,2000,45,NOT_AVAILABLE,NOT_AVAILABLE,4.584524100006092,NOT_AVAILABLE,NOT_AVAILABLE,96000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
hybrid,2000,46,NOT_AVAILABLE,NOT_AVAILABLE,4.866471699991962,NOT_AVAILABLE,NOT_AVAILABLE,96000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
hybrid,5000,42,NOT_AVAILABLE,NOT_AVAILABLE,5.305271200108109,NOT_AVAILABLE,NOT_AVAILABLE,240000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
hybrid,5000,43,NOT_AVAILABLE,NOT_AVAILABLE,5.348847800050862,NOT_AVAILABLE,NOT_AVAILABLE,240000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
hybrid,5000,44,NOT_AVAILABLE,NOT_AVAILABLE,5.483660400059307,NOT_AVAILABLE,NOT_AVAILABLE,240000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
hybrid,5000,45,NOT_AVAILABLE,NOT_AVAILABLE,5.30228740000166,NOT_AVAILABLE,NOT_AVAILABLE,240000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
hybrid,5000,46,NOT_AVAILABLE,NOT_AVAILABLE,5.7027811000007205,NOT_AVAILABLE,NOT_AVAILABLE,240000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
hybrid,10000,42,NOT_AVAILABLE,NOT_AVAILABLE,6.700921000097878,NOT_AVAILABLE,NOT_AVAILABLE,480000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
hybrid,10000,43,NOT_AVAILABLE,NOT_AVAILABLE,6.708267700072611,NOT_AVAILABLE,NOT_AVAILABLE,480000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
hybrid,10000,44,NOT_AVAILABLE,NOT_AVAILABLE,6.844886199978646,NOT_AVAILABLE,NOT_AVAILABLE,480000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
hybrid,10000,45,NOT_AVAILABLE,NOT_AVAILABLE,6.682097300013993,NOT_AVAILABLE,NOT_AVAILABLE,480000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
hybrid,10000,46,NOT_AVAILABLE,NOT_AVAILABLE,7.125179600057891,NOT_AVAILABLE,NOT_AVAILABLE,480000.0,NOT_AVAILABLE,Phase 06 recorded preprocessing + encoding + combined model training/inference times
