outer_fold,dimension,seed,head,temperature,ridge_alpha,inner_fold_1_mae,inner_fold_2_mae,inner_fold_3_mae,mean_inner_mae,std_inner_mae,frozen_candidate_order,selected
5,2000,45,ridge_regression,,10.0,0.7957358260949453,0.7869891811300207,0.7549438741472032,0.7792229604573896,0.017535325746973838,3,False
5,2000,45,ridge_regression,,100.0,0.964156158765157,0.9694230335730093,0.9605916694358543,0.9647236205913402,0.003627649176706434,4,False
5,5000,45,similarity_regression,0.05,,0.7064388596067815,0.7129698269656208,0.6459719009404149,0.6884601958376058,0.030161838870925925,0,True
5,5000,45,similarity_regression,0.1,,0.8404390092550573,0.8475167008088228,0.7982279556753912,0.8287278885797571,0.02175940960918867,1,False
5,5000,45,similarity_regression,0.2,,0.9142794528816628,0.9216717685528828,0.8966952763197216,0.910882165918089,0.01047576441452498,2,False
5,5000,45,similarity_regression,0.5,,0.960358664857143,0.9682203842559001,0.9583521322501684,0.9623103937877371,0.004258523513773721,3,False
5,5000,45,similarity_regression,1.0,,0.9759614727927169,0.984042142306784,0.9791445359951374,0.9797160503648795,0.0033235800431672463,4,False
5,5000,45,similarity_regression,2.0,,0.9838020788465125,0.9920048139104848,0.9895666211222794,0.9884578379597588,0.0034393086232116375,5,False
5,5000,45,ridge_regression,,0.01,0.22958588103453317,0.2928094036049313,0.35844623380237156,0.29361383948061204,0.05261009387732548,0,True
5,5000,45,ridge_regression,,0.1,0.2654344489177068,0.30931147160353484,0.3786992949468118,0.3178150718226845,0.046629495307974035,1,False
5,5000,45,ridge_regression,,1.0,0.4319964309533437,0.4313117497497135,0.48771058519681293,0.45033958863329,0.026426763393711063,2,False
5,5000,45,ridge_regression,,10.0,0.787835282087326,0.783102481453507,0.7521220986489896,0.7743532873966075,0.0158381220542721,3,False
5,5000,45,ridge_regression,,100.0,0.9629574040571849,0.9691517419285245,0.9604732173460501,0.9641941211105864,0.003649319483116814,4,False
5,10000,45,similarity_regression,0.05,,0.7027755976622807,0.7095560512140046,0.6440978141038152,0.6854764876600333,0.029389789684467305,0,True
5,10000,45,similarity_regression,0.1,,0.8378879085174157,0.8455696062010604,0.7947780036920885,0.8260785061368549,0.022353869311550905,1,False
5,10000,45,similarity_regression,0.2,,0.9128414606749854,0.9206403715123336,0.8947857012474449,0.9094225111449212,0.010828447273836117,2,False
5,10000,45,similarity_regression,0.5,,0.9597475308116974,0.9677957763027842,0.9575525877919993,0.9616986316354937,0.004403470111577394,3,False
5,10000,45,similarity_regression,1.0,,0.9756502598630324,0.983828143809071,0.9787397286775422,0.9794060441165486,0.003371688860389556,4,False
5,10000,45,similarity_regression,2.0,,0.9836450965194886,0.9918974304984353,0.9893630496308853,0.9883018588829363,0.0034515550483483625,5,False
5,10000,45,ridge_regression,,0.01,0.22264868915081024,0.3063029072902821,0.35976747782142077,0.29623969142083767,0.056428962934827284,0,True
5,10000,45,ridge_regression,,0.1,0.25305355489254,0.3148399028513167,0.37662280047381363,0.3148387527392234,0.05044693326901941,1,False
5,10000,45,ridge_regression,,1.0,0.4209081331888835,0.4329217948295452,0.48769411555042974,0.4471746811896195,0.029068315364489058,2,False
5,10000,45,ridge_regression,,10.0,0.7828508575757345,0.7816359246218646,0.7494599178985313,0.7713155666987102,0.015462234721586844,3,False
5,10000,45,ridge_regression,,100.0,0.9623358368873596,0.968816547482102,0.9597240399431299,0.9636254747708639,0.00382237253892509,4,False
5,1000,46,similarity_regression,0.05,,0.6948986783737994,0.7017943304653449,0.6678314545034881,0.6881748211142108,0.014657806298706695,0,True
5,1000,46,similarity_regression,0.1,,0.8341033189221979,0.8404770452109422,0.8087590057290434,0.8277797899540612,0.013699118489936313,1,False
5,1000,46,similarity_regression,0.2,,0.9111096729384419,0.9180861193278382,0.9022518371892053,0.9104825431518284,0.006479510863143951,2,False
5,1000,46,similarity_regression,0.5,,0.9591015497387493,0.966785184075385,0.9606005743467384,0.9621624360536242,0.003325569439796171,3,False
5,1000,46,similarity_regression,1.0,,0.9753355672101293,0.983325128423339,0.9802690180798452,0.9796432379044377,0.0032916027216596615,4,False
5,1000,46,similarity_regression,2.0,,0.9834898605702456,0.9916464879140974,0.9901285130283652,0.9884216205042361,0.003541916051453301,5,False
5,1000,46,ridge_regression,,0.01,0.3081184148788452,0.3980279443440614,0.35279427965482074,0.3529802129592425,0.036705647163703246,0,False
5,1000,46,ridge_regression,,0.1,0.3105562647183736,0.35624316334724426,0.3783841375951414,0.3483945218869198,0.028241293222587928,1,True
5,1000,46,ridge_regression,,1.0,0.4248486121495565,0.4308963252438439,0.49793921576605904,0.45122805105315317,0.03312193019782988,2,False
5,1000,46,ridge_regression,,10.0,0.7790717661380768,0.7682578331894345,0.7551470730039809,0.7674922241104974,0.009782206749552227,3,False
5,1000,46,ridge_regression,,100.0,0.9617175281047821,0.9674664691642478,0.9619903100861443,0.9637247691183913,0.0026481241067606662,4,False
5,2000,46,similarity_regression,0.05,,0.6819393228161699,0.6893449777359463,0.6368386406584989,0.6693743137368718,0.023204000347566,0,True
5,2000,46,similarity_regression,0.1,,0.8257434588949326,0.8345571397523409,0.7784091668455271,0.8129032551642669,0.024654977040073498,1,False
5,2000,46,similarity_regression,0.2,,0.9065422961217227,0.9151065028988725,0.8850561203050717,0.9022349731085556,0.012640441636885682,2,False
5,2000,46,similarity_regression,0.5,,0.9571924416275799,0.9655984445945534,0.9534447516647283,0.9587452126289538,0.005081757326958903,3,False
5,2000,46,similarity_regression,1.0,,0.9743686910096953,0.982733785153287,0.9766569504507646,0.977919808871249,0.003529854439910092,4,False
5,2000,46,similarity_regression,2.0,,0.9830034976104431,0.9913514559740655,0.9883151628822598,0.9875567054889228,0.0034499802340809383,5,False
5,2000,46,ridge_regression,,0.01,0.23500034511089324,0.34783267312579685,0.36062547012611673,0.3144861627876023,0.05644708627008791,0,True
5,2000,46,ridge_regression,,0.1,0.2544209748506546,0.3224908477730221,0.37684534434919004,0.31791905565762224,0.05008397963513088,1,False
5,2000,46,ridge_regression,,1.0,0.4123695115248362,0.41427483161290485,0.4905687283586573,0.43907102383213276,0.03642268285730214,2,False
5,2000,46,ridge_regression,,10.0,0.7726400971412659,0.7662967708375719,0.7371519218992304,0.7586962632926895,0.015452689770332696,3,False
5,2000,46,ridge_regression,,100.0,0.9602124551932018,0.9668042748062698,0.9559759828779433,0.9609975709591382,0.004455354949997975,4,False
5,5000,46,similarity_regression,0.05,,0.6804702465305098,0.6971491009948233,0.6364751378614566,0.6713648284622632,0.025593149203454804,0,True
5,5000,46,similarity_regression,0.1,,0.8239998980408385,0.8386117078330778,0.7823832897373028,0.8149982985370731,0.02382128383900924,1,False
5,5000,46,similarity_regression,0.2,,0.9053350890573402,0.9170427139820452,0.8878760559679846,0.9034179530024566,0.011984157400974341,2,False
5,5000,46,similarity_regression,0.5,,0.9566246263154926,0.9663391463117011,0.954664717497037,0.9592094967080769,0.005104523369653594,3,False
5,5000,46,similarity_regression,1.0,,0.9740705566963382,0.9830978302741659,0.9772794599250085,0.9781492822985042,0.0037363404808548003,4,False
