outer_fold,inner_fold,dimension,levels,k,effective_k,seed,train_rows,validation_rows,train_subjects,validation_subjects,subject_overlap_count,preprocessing_seconds,encoding_seconds,prototype_training_seconds,inference_seconds,model_bytes,codebook_hashes,macro_f1,balanced_accuracy,accuracy,severe_error_rate,recall_class_0,recall_class_1,recall_class_2,recall_class_3
2,2,2000,21,200,200,42,227,108,19,9,0,0.047193399994284846,1.0911005999951158,0.0007283000013558194,0.0006904999900143594,539904,"{""identity_codebook_sha256"": ""80c99748d398e78271418a43b2bc99ced72b051cdbfbc860750287cf9db756f9"", ""level_codebook_sha256"": ""b688dfaa8d4bcadbca58f6ad34df3d5e8c11cf772266c4725995b12f41d5b215"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.7361397014913389,0.7407407407407407,0.7407407407407407,0.06481481481481481,0.7407407407407407,0.7777777777777778,0.48148148148148145,0.9629629629629629
2,2,5000,21,200,200,42,227,108,19,9,0,0.047193399994284846,1.0911005999951158,0.0016049999976530671,0.002129400003468618,1253904,"{""identity_codebook_sha256"": ""80c99748d398e78271418a43b2bc99ced72b051cdbfbc860750287cf9db756f9"", ""level_codebook_sha256"": ""b688dfaa8d4bcadbca58f6ad34df3d5e8c11cf772266c4725995b12f41d5b215"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.6912306558585115,0.7037037037037036,0.7037037037037037,0.06481481481481481,0.7407407407407407,0.7407407407407407,0.37037037037037035,0.9629629629629629
2,2,2000,21,all,1542,42,227,108,19,9,0,0.047193399994284846,8.27938219999487,0.0007052000000840053,0.0006093999982113019,3245376,"{""identity_codebook_sha256"": ""80c99748d398e78271418a43b2bc99ced72b051cdbfbc860750287cf9db756f9"", ""level_codebook_sha256"": ""b688dfaa8d4bcadbca58f6ad34df3d5e8c11cf772266c4725995b12f41d5b215"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.65314278664743,0.6574074074074074,0.6574074074074074,0.07407407407407407,0.5555555555555556,0.7777777777777778,0.48148148148148145,0.8148148148148148
2,2,5000,21,all,1542,42,227,108,19,9,0,0.047193399994284846,8.27938219999487,0.0016256000089924783,0.002148500003386289,7985376,"{""identity_codebook_sha256"": ""80c99748d398e78271418a43b2bc99ced72b051cdbfbc860750287cf9db756f9"", ""level_codebook_sha256"": ""b688dfaa8d4bcadbca58f6ad34df3d5e8c11cf772266c4725995b12f41d5b215"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.6687337149103874,0.6759259259259258,0.6759259259259259,0.06481481481481481,0.4444444444444444,0.8148148148148148,0.5555555555555556,0.8888888888888888
2,2,2000,51,50,50,42,227,108,19,9,0,0.047193399994284846,0.291101399998297,0.0007499999919673428,0.0005330999993020669,297504,"{""identity_codebook_sha256"": ""80c99748d398e78271418a43b2bc99ced72b051cdbfbc860750287cf9db756f9"", ""level_codebook_sha256"": ""42ff272813ff05401b57eaec902c01c74e93bf685811652e949e7f5108c88a2b"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.7656085009814682,0.7685185185185185,0.7685185185185185,0.05555555555555555,0.5925925925925926,0.7777777777777778,0.7037037037037037,1.0
2,2,5000,51,50,50,42,227,108,19,9,0,0.047193399994284846,0.291101399998297,0.0018155999860027805,0.0020287000079406425,651504,"{""identity_codebook_sha256"": ""80c99748d398e78271418a43b2bc99ced72b051cdbfbc860750287cf9db756f9"", ""level_codebook_sha256"": ""42ff272813ff05401b57eaec902c01c74e93bf685811652e949e7f5108c88a2b"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.755109225101067,0.7592592592592593,0.7592592592592593,0.05555555555555555,0.5555555555555556,0.7777777777777778,0.7037037037037037,1.0
2,2,2000,51,100,100,42,227,108,19,9,0,0.047193399994284846,0.5681990000011865,0.0007052000000840053,0.0006393999938154593,398304,"{""identity_codebook_sha256"": ""80c99748d398e78271418a43b2bc99ced72b051cdbfbc860750287cf9db756f9"", ""level_codebook_sha256"": ""42ff272813ff05401b57eaec902c01c74e93bf685811652e949e7f5108c88a2b"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.7763653402736549,0.7777777777777778,0.7777777777777778,0.05555555555555555,0.7037037037037037,0.7777777777777778,0.6296296296296297,1.0
2,2,5000,51,100,100,42,227,108,19,9,0,0.047193399994284846,0.5681990000011865,0.001520699996035546,0.002070400005322881,902304,"{""identity_codebook_sha256"": ""80c99748d398e78271418a43b2bc99ced72b051cdbfbc860750287cf9db756f9"", ""level_codebook_sha256"": ""42ff272813ff05401b57eaec902c01c74e93bf685811652e949e7f5108c88a2b"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.7666933203541464,0.7685185185185185,0.7685185185185185,0.05555555555555555,0.7407407407407407,0.7407407407407407,0.5925925925925926,1.0
2,2,2000,51,200,200,42,227,108,19,9,0,0.047193399994284846,1.1085917999880621,0.0007011999987298623,0.0004597999941324815,599904,"{""identity_codebook_sha256"": ""80c99748d398e78271418a43b2bc99ced72b051cdbfbc860750287cf9db756f9"", ""level_codebook_sha256"": ""42ff272813ff05401b57eaec902c01c74e93bf685811652e949e7f5108c88a2b"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.7657619032998972,0.7685185185185185,0.7685185185185185,0.05555555555555555,0.7407407407407407,0.7407407407407407,0.5925925925925926,1.0
2,2,5000,51,200,200,42,227,108,19,9,0,0.047193399994284846,1.1085917999880621,0.001576999988174066,0.002043300002696924,1403904,"{""identity_codebook_sha256"": ""80c99748d398e78271418a43b2bc99ced72b051cdbfbc860750287cf9db756f9"", ""level_codebook_sha256"": ""42ff272813ff05401b57eaec902c01c74e93bf685811652e949e7f5108c88a2b"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.7135735015399195,0.7222222222222222,0.7222222222222222,0.05555555555555555,0.7777777777777778,0.7407407407407407,0.4074074074074074,0.9629629629629629
2,2,2000,51,all,1542,42,227,108,19,9,0,0.047193399994284846,8.482062600000063,0.0007107999990694225,0.0005317000031936914,3305376,"{""identity_codebook_sha256"": ""80c99748d398e78271418a43b2bc99ced72b051cdbfbc860750287cf9db756f9"", ""level_codebook_sha256"": ""42ff272813ff05401b57eaec902c01c74e93bf685811652e949e7f5108c88a2b"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.5766360505166476,0.5925925925925926,0.5925925925925926,0.07407407407407407,0.37037037037037035,0.6666666666666666,0.4074074074074074,0.9259259259259259
2,2,5000,51,all,1542,42,227,108,19,9,0,0.047193399994284846,8.482062600000063,0.0015988999948604032,0.0019606999994721264,8135376,"{""identity_codebook_sha256"": ""80c99748d398e78271418a43b2bc99ced72b051cdbfbc860750287cf9db756f9"", ""level_codebook_sha256"": ""42ff272813ff05401b57eaec902c01c74e93bf685811652e949e7f5108c88a2b"", ""tie_vector_sha256"": ""46125906026eeb688d5155235c7e575e7b51d78c831a1a486e205cdb6456745c""}",0.6115423504705608,0.6296296296296297,0.6296296296296297,0.07407407407407407,0.5555555555555556,0.7037037037037037,0.2962962962962963,0.9629629629629629
