outer_fold,seed,selected_k,selected_n_estimators,selected_max_depth,selected_max_features,selected_min_samples_leaf,best_inner_bounded_mae,mae_raw,mae_bounded,rmse_raw,rmse_bounded,r2_raw,r2_bounded,spearman_raw,spearman_bounded,fit_time_seconds,prediction_time_seconds
3,44,all,200,,0.3,1,0.1565556593007573,0.1397619047619047,0.1397619047619047,0.254126655711,0.254126655711,0.9483357142857144,0.9483357142857144,0.9519573673188528,0.9519573673188528,0.7326384000043618,0.0377729000028921
3,45,all,200,,0.3,1,0.1565556593007573,0.1486904761904762,0.1486904761904762,0.2776828012233349,0.2776828012233349,0.9383138095238096,0.9383138095238096,0.947761010780426,0.947761010780426,0.7718298999971012,0.0374244999984512
3,46,all,200,,0.3,1,0.1565556593007573,0.137797619047619,0.137797619047619,0.260733283717471,0.260733283717471,0.9456145238095238,0.9456145238095238,0.9502198289881209,0.9502198289881209,0.7351161999977194,0.0382978999987244
4,42,all,200,,0.3,1,0.1731642286544247,0.1111309523809523,0.1111309523809523,0.186524446246649,0.186524446246649,0.9721669047619048,0.9721669047619048,0.9683928947438828,0.9683928947438828,0.8414640999981202,0.0508669999981066
4,43,all,200,,0.3,1,0.1731642286544247,0.1031547619047618,0.1031547619047618,0.1748085687667675,0.1748085687667675,0.9755535714285716,0.9755535714285716,0.9685498306946336,0.9685498306946336,0.9011689000035404,0.0415407999971648
4,44,all,200,,0.3,1,0.1731642286544247,0.1078571428571428,0.1078571428571428,0.18,0.18,0.97408,0.97408,0.9684811618285218,0.9684811618285218,0.7780130000028294,0.0369746000069426
4,45,all,200,,0.3,1,0.1731642286544247,0.1081547619047618,0.1081547619047618,0.1832047709401643,0.1832047709401643,0.9731488095238096,0.9731488095238096,0.9684174109576366,0.9684174109576366,0.8149311000015587,0.0378393999999389
4,46,all,200,,0.3,1,0.1731642286544247,0.1047619047619047,0.1047619047619047,0.1673355624970092,0.1673355624970092,0.9775990476190476,0.9775990476190476,0.9684909707723242,0.9684909707723242,0.7796129000053043,0.0384992000035708
5,42,all,500,,0.3,1,0.2085895061728394,0.1009638554216867,0.1009638554216867,0.1556666193682581,0.1556666193682581,0.9807988368990108,0.9807988368990108,0.9683149393347952,0.9683149393347952,1.928613399999449,0.0716183000040473
5,43,all,500,,0.3,1,0.2085895061728394,0.101156626506024,0.101156626506024,0.1555585350642172,0.1555585350642172,0.9808254916034046,0.9808254916034046,0.9683301845876492,0.9683301845876492,1.955780299991602,0.0767122999968705
5,44,all,500,,0.3,1,0.2085895061728394,0.0992771084337348,0.0992771084337348,0.1546525059297825,0.1546525059297825,0.9810481996779388,0.9810481996779388,0.9683251027566904,0.9683251027566904,2.427306999990833,0.0901772000070195
5,45,all,500,,0.3,1,0.2085895061728394,0.0972771084337349,0.0972771084337349,0.152439915084086,0.152439915084086,0.9815866017943408,0.9815866017943408,0.9683403484895988,0.9683403484895988,2.136790000004112,0.1018930999998701
5,46,all,500,,0.3,1,0.2085895061728394,0.1057108433734939,0.1057108433734939,0.1637360497138721,0.1637360497138721,0.978756544283414,0.978756544283414,0.968335266498618,0.968335266498618,2.2244960999960317,0.0852067000087117
