outer_fold,seed,selected_k,selected_n_estimators,selected_learning_rate,selected_max_depth,best_inner_bounded_mae,mae_raw,mae_bounded,rmse_raw,rmse_bounded,r2_raw,r2_bounded,spearman_raw,spearman_bounded,fit_time_seconds,prediction_time_seconds
3,44,200,300,0.1,3,0.1062745501167298,0.1114681812126935,0.105167344907222,0.2536912670153808,0.2522028707990893,0.9485125928321044,0.9491149695685585,0.9577749783050512,0.9580660216072784,5.3333870000060415,0.0092300999967847
3,45,200,300,0.1,3,0.1062745501167298,0.1170417922217019,0.1096533406914037,0.2638091415720388,0.2613742585147119,0.9443237894584192,0.9453467975887077,0.9568966885496132,0.95771638766749,5.335427700003493,0.0098997999884886
3,46,200,300,0.1,3,0.1062745501167298,0.1119194355351117,0.1053166779357067,0.2530764748869254,0.2517069739882744,0.948761838287046,0.9493148793965328,0.9577749783050512,0.9584059076961324,5.307641099992907,0.0094884999998612
4,42,100,300,0.1,3,0.1369625959490834,0.1234166370323477,0.1135530764729495,0.2525303634714644,0.2500569212038167,0.948982732419976,0.9499772289264544,0.9560183987941754,0.9567694238422152,2.8576104000094347,0.0097471000044606
4,43,100,300,0.1,3,0.1369625959490834,0.1304887735344584,0.120280212481923,0.2611750776053105,0.2586487950425492,0.945430063070288,0.94648064065843,0.9551401090387374,0.9557693027231032,2.832185000006575,0.0104376999952364
4,44,100,300,0.1,3,0.1369625959490834,0.130079808952479,0.1203725986261375,0.2635332804106454,0.2613466258568873,0.9444401680928032,0.9453583529225762,0.9547009641610184,0.9554509542641136,2.828261199989356,0.0105148000002373
4,45,100,300,0.1,3,0.1369625959490834,0.1272157942725013,0.1174600245102811,0.2610129695510308,0.2587701554307316,0.945497783780922,0.946430405326684,0.9551401090387374,0.9558177537561467,2.821674900013022,0.0100727999961236
4,46,100,300,0.1,3,0.1369625959490834,0.1278132809640788,0.1177983182011546,0.2588873618967015,0.2565372481725915,0.946381867080133,0.9473509122400272,0.9551401090387374,0.9558177537561467,2.8585822000022745,0.0100486000010278
5,42,all,300,0.03,3,0.1655882310946286,0.0632542156831009,0.0583360712463662,0.1064410144545611,0.1047022792098746,0.9910225176712836,0.9913134200672838,0.9682742888472,0.9691646889478476,23.81095729999652,0.0098464000038802
5,43,all,300,0.03,3,0.1655882310946286,0.0579674574373953,0.0540361190514558,0.0989560795476999,0.0978777477571995,0.9922407184465452,0.9924089040024172,0.9682742888472,0.9690628045977756,23.79483710000932,0.0100897999946028
5,44,all,300,0.03,3,0.1655882310946286,0.0612672893040516,0.057331790925286,0.1028878085518385,0.1015660080230591,0.9916118848616629,0.9918260248093208,0.9682742888472,0.9688031448728088,23.85655579999729,0.0097792000015033
5,45,all,300,0.03,3,0.1655882310946286,0.0614337273155421,0.0569750989542384,0.1017367521993505,0.1004235716335661,0.9917985189179356,0.9920088758945949,0.9682742888472,0.9692920895873894,23.84192130000156,0.0097421000100439
5,46,all,300,0.03,3,0.1655882310946286,0.0613821946259708,0.0572611286861473,0.1023994145740839,0.1010610271316504,0.9916913302640744,0.9919071039026244,0.9682742888472,0.9690628045977756,23.78433719999157,0.0098489999945741
