candidate_index,feature_selection__k,regressor__n_estimators,regressor__max_depth,regressor__max_features,regressor__min_samples_leaf,split_1_validation_bounded_mae,split_2_validation_bounded_mae,split_3_validation_bounded_mae,mean_validation_bounded_mae,std_validation_bounded_mae,rank
15,50,200,12,0.3,2,0.20994386574074078,0.22509694664902996,0.3321519143151087,0.2557309089016265,0.054390756056269335,29
16,50,500,12,0.3,2,0.21067292328042336,0.2305094576719577,0.3316206496178718,0.2576010101900843,0.05296257980833504,31
17,100,200,,sqrt,1,0.22904166666666667,0.21814814814814817,0.34212962962962973,0.2631064814814815,0.05605450112085237,33
18,100,500,,sqrt,1,0.22508333333333333,0.22283333333333336,0.34355555555555556,0.2638240740740741,0.0563861536160777,35
19,100,200,,sqrt,2,0.2349215112433863,0.22402199074074078,0.35557070707070715,0.27150473635161143,0.05960992904712432,37
20,100,500,,sqrt,2,0.23092282407407413,0.22820901675485014,0.3595062663673775,0.2728793690654339,0.061264485033677686,39
21,100,200,,0.3,1,0.17545833333333333,0.17990740740740738,0.31175925925925924,0.222375,0.06323030875312885,15
22,100,500,,0.3,1,0.17404999999999998,0.1746851851851851,0.30618518518518517,0.21830679012345677,0.06213995013421333,9
23,100,200,,0.3,2,0.17645947420634917,0.18646406525573186,0.3207267967372135,0.22788344539976482,0.06577709264981259,23
24,100,500,,0.3,2,0.17732965428090428,0.1822135281385282,0.3205628453850675,0.22670200926816667,0.06639957566825803,21
25,100,200,12,sqrt,1,0.22904166666666667,0.21814814814814817,0.3428472222222222,0.2633456790123457,0.056391717571479254,34
26,100,500,12,sqrt,1,0.22508571428571425,0.22283333333333336,0.3438425925925926,0.2639205467372134,0.056520900943932015,36
27,100,200,12,sqrt,2,0.23492151124338634,0.22402199074074078,0.3555707070707071,0.27150473635161143,0.05960992904712429,37
28,100,500,12,sqrt,2,0.23092282407407413,0.22820901675485014,0.3595062663673775,0.2728793690654339,0.061264485033677686,39
29,100,200,12,0.3,1,0.17545833333333333,0.17990740740740738,0.31175925925925924,0.222375,0.06323030875312885,15
30,100,500,12,0.3,1,0.17404999999999998,0.1746851851851851,0.30618518518518517,0.21830679012345677,0.06213995013421333,9
31,100,200,12,0.3,2,0.17645947420634917,0.18646406525573192,0.3207267967372134,0.22788344539976482,0.06577709264981252,23
32,100,500,12,0.3,2,0.17732965428090428,0.1822135281385282,0.3205628453850675,0.22670200926816667,0.06639957566825803,21
33,200,200,,sqrt,1,0.25204166666666666,0.2569444444444444,0.36435185185185187,0.29111265432098765,0.05182659773197721,49
34,200,500,,sqrt,1,0.25011666666666665,0.2556851851851852,0.364962962962963,0.2902549382716049,0.052875443667712727,47
35,200,200,,sqrt,2,0.2619357804232804,0.2519850238496073,0.38023056290417406,0.2980504557256873,0.05825193502364139,55
36,200,500,,sqrt,2,0.25480417328042326,0.2506224486932821,0.3747895870076426,0.29340540299378265,0.05757262521275215,53
37,200,200,,0.3,1,0.15979166666666664,0.1858796296296296,0.3185648148148148,0.22141203703703702,0.06951806539954411,11
38,200,500,,0.3,1,0.15775,0.18912962962962962,0.3185185185185185,0.22179938271604938,0.0695802352765282,13
39,200,200,,0.3,2,0.1558995370370371,0.18853790049970598,0.33325900205761333,0.22589881319811878,0.07707560490124861,17
40,200,500,,0.3,2,0.15802000000000008,0.18999881152797823,0.33178071321682434,0.22659984158160087,0.0755112482355863,19
41,200,200,12,sqrt,1,0.25204166666666666,0.2569444444444444,0.36435185185185187,0.29111265432098765,0.05182659773197721,49
42,200,500,12,sqrt,1,0.25011666666666665,0.2556851851851852,0.364962962962963,0.2902549382716049,0.052875443667712727,47
43,200,200,12,sqrt,2,0.2619357804232804,0.2519850238496073,0.38023056290417406,0.2980504557256873,0.05825193502364139,55
44,200,500,12,sqrt,2,0.2548041732804232,0.25062244869328215,0.3747895870076426,0.29340540299378265,0.05757262521275215,53
45,200,200,12,0.3,1,0.15979166666666664,0.1858796296296296,0.3185648148148148,0.22141203703703702,0.06951806539954411,11
46,200,500,12,0.3,1,0.15775,0.18912962962962962,0.3185185185185185,0.22179938271604938,0.0695802352765282,13
47,200,200,12,0.3,2,0.1558995370370371,0.18853790049970598,0.33325900205761333,0.22589881319811878,0.07707560490124861,17
48,200,500,12,0.3,2,0.15802000000000008,0.1899988115279782,0.33178071321682434,0.22659984158160087,0.0755112482355863,19
49,all,200,,sqrt,1,0.298625,0.3224537037037037,0.4058333333333334,0.34230401234567903,0.04596326612208233,58
50,all,500,,sqrt,1,0.29736666666666667,0.3291296296296296,0.4015185185185185,0.34267160493827165,0.04358471354720157,60
51,all,200,,sqrt,2,0.30488373015873016,0.32093470752498543,0.41264726631393306,0.3461552346658829,0.04747140313295285,61
