candidate_index,feature_selection__k,regressor__n_estimators,regressor__max_depth,regressor__max_features,regressor__min_samples_leaf,split_1_validation_bounded_mae,split_2_validation_bounded_mae,split_3_validation_bounded_mae,mean_validation_bounded_mae,std_validation_bounded_mae,rank
31,100,200,12,0.3,2,0.1504770908363345,0.25950308641975306,0.1621908068783069,0.1907236613781315,0.048868938789855876,21
32,100,500,12,0.3,2,0.15017869147659063,0.2634684082892416,0.16508709582598483,0.19291139853060568,0.05026121002404301,23
33,200,200,,sqrt,1,0.22672268907563028,0.2793981481481482,0.2027777777777778,0.2362995383338521,0.03200476339764869,25
34,200,500,,sqrt,1,0.2282352941176471,0.27892592592592597,0.20262962962962963,0.23659694989106758,0.03170403941233086,27
35,200,200,,sqrt,2,0.22960557556355873,0.28493518518518524,0.21398789315108754,0.2428428846332772,0.030439002669802033,39
36,200,500,,sqrt,2,0.2303950913698813,0.28543813932980594,0.20853114945753845,0.2414547933857419,0.03235644221596875,37
37,200,200,,0.3,1,0.1645378151260504,0.23046296296296293,0.12800925925925924,0.17433667911609085,0.042396569454560516,11
38,200,500,,0.3,1,0.16453781512605037,0.2288148148148148,0.12779629629629627,0.1737163087457205,0.04174820419102928,9
39,200,200,,0.3,2,0.16096873749499802,0.23801631393298048,0.13028395061728393,0.17642300068175412,0.04531880562106974,13
40,200,500,,0.3,2,0.16341430572228896,0.23406984126984134,0.13260186654908887,0.17669533784707306,0.04247530132682974,16
41,200,200,12,sqrt,1,0.22672268907563028,0.2793981481481482,0.2027777777777778,0.2362995383338521,0.03200476339764869,25
42,200,500,12,sqrt,1,0.2282352941176471,0.27892592592592597,0.20262962962962963,0.23659694989106758,0.03170403941233086,27
43,200,200,12,sqrt,2,0.22960557556355873,0.28493518518518524,0.21398789315108754,0.2428428846332772,0.030439002669802033,39
44,200,500,12,sqrt,2,0.2303950913698813,0.28543813932980594,0.20853114945753848,0.2414547933857419,0.03235644221596874,37
45,200,200,12,0.3,1,0.1645378151260504,0.23046296296296293,0.12800925925925924,0.17433667911609085,0.042396569454560516,11
46,200,500,12,0.3,1,0.16453781512605037,0.2288148148148148,0.12779629629629627,0.1737163087457205,0.04174820419102928,9
47,200,200,12,0.3,2,0.16096873749499796,0.23801631393298053,0.13028395061728393,0.17642300068175412,0.045318805621069776,13
48,200,500,12,0.3,2,0.16341430572228896,0.23406984126984126,0.13260186654908887,0.17669533784707303,0.0424753013268297,15
49,all,200,,sqrt,1,0.2829831932773109,0.34787037037037033,0.2684722222222222,0.2997752619566345,0.034520493046277675,60
50,all,500,,sqrt,1,0.28870588235294115,0.34066666666666656,0.26375925925925925,0.2977106027596223,0.03203644872884746,58
51,all,200,,sqrt,2,0.2945835500867014,0.35618827160493816,0.2671309707524986,0.3059675974813794,0.037237956532671423,63
52,all,500,,sqrt,2,0.2946983993597439,0.3448680114638448,0.26702102105713216,0.302195810626907,0.032220044078466036,61
53,all,200,,0.3,1,0.15231092436974789,0.197824074074074,0.14837962962962958,0.1661715426911505,0.022439189331667626,5
54,all,500,,0.3,1,0.15242016806722686,0.19848148148148145,0.14222222222222222,0.16437462392364352,0.024473902075713184,1
55,all,200,,0.3,2,0.15216066426570626,0.2031922766019989,0.14552601410934748,0.16695965165901758,0.025763112886041595,8
56,all,500,,0.3,2,0.1525957983193277,0.20085224132863022,0.14266042768959444,0.16536948911251745,0.025415837267474036,3
57,all,200,12,sqrt,1,0.2827170868347338,0.34787037037037033,0.2684722222222222,0.2996865598091088,0.03456384182070285,59
58,all,500,12,sqrt,1,0.28859943977591035,0.34066666666666656,0.26375925925925925,0.297675121900612,0.03204645932656425,57
59,all,200,12,sqrt,2,0.2945835500867015,0.35618827160493827,0.2671309707524985,0.3059675974813794,0.0372379565326715,63
60,all,500,12,sqrt,2,0.2946983993597439,0.3448680114638448,0.2670210210571322,0.302195810626907,0.032220044078466015,61
61,all,200,12,0.3,1,0.15231092436974789,0.197824074074074,0.14837962962962958,0.1661715426911505,0.022439189331667626,5
62,all,500,12,0.3,1,0.15242016806722686,0.19848148148148145,0.14222222222222222,0.16437462392364352,0.024473902075713184,1
63,all,200,12,0.3,2,0.15216066426570626,0.20319227660199884,0.14552601410934748,0.16695965165901752,0.02576311288604157,7
64,all,500,12,0.3,2,0.1525957983193277,0.20085224132863022,0.14266042768959442,0.16536948911251745,0.025415837267474043,3
