outer_fold,dimension,seed,test_rows,warmups,timed_repetitions,clock,preprocessing_median_batch_ns,encoding_median_batch_ns,dual_heads_median_batch_ns,complete_inference_median_batch_ns,complete_inference_median_per_sample_ns,encoding_throughput_rows_per_second,identity_hv_bytes,level_hv_bytes,tie_vector_bytes,prototype_bytes,ridge_readout_bytes,preprocessing_state_bytes,total_model_component_bytes,model_artifact_file_bytes,inference_python_peak_allocated_bytes,repeated_outputs_discarded,repeated_output_digest,frozen_prediction_max_abs_difference
2,5000,42,84,5,30,time.perf_counter_ns,2099600,68717900,3958850,75026650,893174.4047619047,1222.3889263205076,250000,255000,5000,80000,40008,52496,682504,31724,5481744,True,bb577ad0291b216db534e8e9530184ce070988811c7d9a4065e1d3b95370d034,4.440892098500626e-16
2,5000,43,84,5,30,time.perf_counter_ns,2049500,68660000,4113800,74962400,892409.5238095238,1223.4197494902419,250000,255000,5000,80000,40008,52496,682504,31403,5481744,True,75d3be12b43148781487a24cdd6537c9412fe8f8dd5386325f3624564c430a8e,4.440892098500626e-16
2,5000,44,84,5,30,time.perf_counter_ns,2299150,68960300,4146200,75506500,898886.9047619047,1218.092148671047,250000,255000,5000,80000,40008,52496,682504,31792,5481744,True,da3e5e0b4f119a37296a21e5362cbea76c36caf25a92e56cda416aefcfca30d0,8.881784197001252e-16
2,5000,45,84,5,30,time.perf_counter_ns,2183400,67929700,4166650,74569650,887733.9285714285,1236.572515409313,250000,255000,5000,80000,40008,52496,682504,31546,5481744,True,6c0a3208f8d8a275b3948bc4568f9e30512ded6f94345ba7e525a3e1ae559a42,4.440892098500626e-16
2,5000,46,84,5,30,time.perf_counter_ns,2015800,68411900,4245350,74426500,886029.7619047619,1227.8565571194486,250000,255000,5000,80000,40008,52496,682504,31762,5481744,True,18956c854ca1d07c98a927981ecdffcc19e80e421ef37bf927ba40e44fe1ec8c,8.881784197001252e-16
2,10000,42,84,5,30,time.perf_counter_ns,2491650,132866000,7914300,142963850,1701950.5952380951,632.2159167883431,500000,510000,10000,160000,80008,52496,1312504,62206,10941744,True,4f138c4ee8e7b8ab09426ae83dc6ea9d2cfb2592174023a705606d53a780ff9a,4.440892098500626e-16
2,10000,43,84,5,30,time.perf_counter_ns,1976400,132372000,7723500,142675300,1698515.4761904762,634.5752878252199,500000,510000,10000,160000,80008,52496,1312504,62079,10941744,True,4d64274a7c7d7d843fb5e8f456d0490a74e69967b2699d3b62b28de19d25546b,4.440892098500626e-16
2,10000,44,84,5,30,time.perf_counter_ns,2189750,132982150,7738400,142752150,1699430.357142857,631.6637232891783,500000,510000,10000,160000,80008,52496,1312504,62209,10941744,True,f817378db4345a822f51f2c293aa48ceee8ce53d58bc02dd321e9e083a6f7e1e,8.881784197001252e-16
2,10000,45,84,5,30,time.perf_counter_ns,2406450,132959900,7854600,143310900,1706082.142857143,631.7694282261043,500000,510000,10000,160000,80008,52496,1312504,61964,10941744,True,b07700b0147e5fddc04854c0c95854dd4aeb19215451093ecc7d5e3dfc519e33,4.440892098500626e-16
2,10000,46,84,5,30,time.perf_counter_ns,2137200,133682700,7966550,143853400,1712540.4761904762,628.3535565933364,500000,510000,10000,160000,80008,52496,1312504,62060,10941744,True,2f131a217774b9bb5591f062735e559bc237adf9af0a94dece39a2d4951d7ae1,4.440892098500626e-16
3,1000,42,84,5,30,time.perf_counter_ns,2242750,9789350,503850,12550950,149416.07142857142,8580.753574037091,50000,51000,1000,16000,8008,55216,181224,7131,4703200,True,8939e58ecfc018f80d960030b3b47a46b8cfa040c3aabecd72a1f9b39d7109b1,8.881784197001252e-16
3,1000,43,84,5,30,time.perf_counter_ns,2496550,9309550,579650,12447600,148185.7142857143,9022.99251843537,50000,51000,1000,16000,8008,55216,181224,6985,4703200,True,9cf8470a2ed2ce3d816c415c7b01728849513dda7f3c47c569aff8bdbcb74d6a,4.440892098500626e-16
