variant,outer_fold,dimension,seed,levels,feature_k,selected_structure_parameters,selected_temperature,inner_fold,temperature,bounded_mae,bounded_rmse,model_seconds,model_bytes
hybrid,2,1000,44,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,1,2.0,0.9951673249214313,1.111905628961818,0.11193309997906908,32000
hybrid,2,1000,44,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,2,0.05,0.564804798988061,0.6954010825324729,0.11447420000331476,32000
hybrid,2,1000,44,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,2,0.1,0.7151448998480388,0.8384973418273534,0.11447420000331476,32000
hybrid,2,1000,44,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,2,0.2,0.8430136234218472,0.9574466225131528,0.11447420000331476,32000
hybrid,2,1000,44,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,2,0.5,0.9341050246484172,1.0484768329252947,0.11447420000331476,32000
hybrid,2,1000,44,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,2,1.0,0.9665900060086631,1.0823681853477214,0.11447420000331476,32000
hybrid,2,1000,44,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,2,2.0,0.9831865619626581,1.0999814893290303,0.11447420000331476,32000
hybrid,2,1000,44,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,3,0.05,0.6399694858659699,0.7491340550229497,0.11349450002308004,32000
hybrid,2,1000,44,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,3,0.1,0.7961485588356854,0.9042046163122393,0.11349450002308004,32000
hybrid,2,1000,44,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,3,0.2,0.8939647142150273,1.0039400298704293,0.11349450002308004,32000
hybrid,2,1000,44,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,3,0.5,0.9568310593428242,1.07081091208587,0.11349450002308004,32000
hybrid,2,1000,44,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,3,1.0,0.978315053026491,1.0941769383560487,0.11349450002308004,32000
hybrid,2,1000,44,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,3,2.0,0.9891350617316296,1.1060462304412442,0.11349450002308004,32000
hybrid,2,1000,45,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,1,0.05,0.6998364697292508,0.8071909722475303,0.10603729999274947,32000
hybrid,2,1000,45,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,1,0.1,0.8405625357306908,0.9485435064205746,0.10603729999274947,32000
hybrid,2,1000,45,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,1,0.2,0.9204284502732161,1.031645697047008,0.10603729999274947,32000
hybrid,2,1000,45,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,1,0.5,0.970349117924732,1.0849792708333994,0.10603729999274947,32000
hybrid,2,1000,45,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,1,1.0,0.9872302426791402,1.1032670209273923,0.10603729999274947,32000
hybrid,2,1000,45,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,1,2.0,0.9957058723953395,1.1124985151583031,0.10603729999274947,32000
hybrid,2,1000,45,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,2,0.05,0.594889336628001,0.729592449547315,0.11339610000140965,32000
hybrid,2,1000,45,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,2,0.1,0.7499673703814693,0.8758494675880149,0.11339610000140965,32000
hybrid,2,1000,45,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,2,0.2,0.8678833996314042,0.9835586412940276,0.11339610000140965,32000
hybrid,2,1000,45,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,2,0.5,0.9458168762610927,1.0610311141188966,0.11339610000140965,32000
hybrid,2,1000,45,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,2,1.0,0.9727310134948147,1.0890139566802595,0.11339610000140965,32000
hybrid,2,1000,45,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,2,2.0,0.9863261807846286,1.1033970047606143,0.11339610000140965,32000
hybrid,2,1000,45,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,3,0.05,0.6849123371751523,0.7827919239681757,0.11140570000861771,32000
hybrid,2,1000,45,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,3,0.1,0.823990932261231,0.9256248888664598,0.11140570000861771,32000
hybrid,2,1000,45,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,3,0.2,0.9084823949101861,1.01516399513706,0.11140570000861771,32000
hybrid,2,1000,45,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,3,0.5,0.9626803163426643,1.0752576660198805,0.11140570000861771,32000
hybrid,2,1000,45,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,3,1.0,0.9812374791220415,1.096376608314005,0.11140570000861771,32000
hybrid,2,1000,45,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,3,2.0,0.9905948541443336,1.107138522457404,0.11140570000861771,32000
hybrid,2,1000,46,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,1,0.05,0.692783909782566,0.8055078431236277,0.10745310000493191,32000
hybrid,2,1000,46,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,1,0.1,0.837605345836936,0.9480653245268287,0.10745310000493191,32000
hybrid,2,1000,46,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,1,0.2,0.918664142741509,1.0313263442069567,0.10745310000493191,32000
hybrid,2,1000,46,51,50,"{""centroids_per_class"":2,""epochs"":3,""learning_rate"":0.05,""margin_threshold"":0.0}",0.05,1,0.5,0.9695449505224075,1.0847908847097065,0.10745310000493191,32000
