variant,outer_fold,inner_fold,candidate_id,dimension,epochs,learning_rate,margin_threshold,levels,feature_k,seed,macro_f1,balanced_accuracy,accuracy,severe_error_rate,recall_class_0,recall_class_1,recall_class_2,recall_class_3,training_seconds,inference_seconds,preprocessing_seconds_shared,encoding_seconds_shared,model_bytes,model_dtype,sample_hv_dtype,subject_overlap_count,training_info_json
onlinehd,3,3,candidate_009,2000,5,0.05,0.0,51,50,42,0.5987579242223204,0.6851851851851851,0.6851851851851852,0.05555555555555555,0.9629629629629629,0.037037037037037035,0.7407407407407407,1.0,0.07590850000269711,0.00036949999048374593,0.03661300000385381,0.26205940000363626,32000,float32,int8,0,"{""epochs"":5,""updates"":503}"
onlinehd,3,1,candidate_010,2000,5,0.05,0.1,51,50,42,0.7244248053674283,0.7566091954022989,0.7563025210084033,0.04201680672268908,1.0,0.23333333333333334,0.7931034482758621,1.0,0.07536720001371577,0.0004352999967522919,0.038037799997255206,0.2615360000054352,32000,float32,int8,0,"{""epochs"":5,""updates"":720}"
onlinehd,3,2,candidate_010,2000,5,0.05,0.1,51,50,42,0.42212962962962963,0.5,0.5092592592592593,0.027777777777777776,0.0,1.0,0.14814814814814814,0.8518518518518519,0.07985749997897074,0.0003768000169657171,0.04032940001343377,0.26254990001325496,32000,float32,int8,0,"{""epochs"":5,""updates"":743}"
onlinehd,3,3,candidate_010,2000,5,0.05,0.1,51,50,42,0.6413785097235455,0.7129629629629629,0.7129629629629629,0.037037037037037035,0.9629629629629629,0.07407407407407407,0.8148148148148148,1.0,0.07906399999046698,0.0003792000061366707,0.03661300000385381,0.26205940000363626,32000,float32,int8,0,"{""epochs"":5,""updates"":768}"
onlinehd,3,1,candidate_011,2000,5,0.1,0.0,51,50,42,0.6112276019824627,0.7,0.6974789915966386,0.058823529411764705,0.8,0.0,1.0,1.0,0.07310860001598485,0.00040599997737444937,0.038037799997255206,0.2615360000054352,32000,float32,int8,0,"{""epochs"":5,""updates"":495}"
onlinehd,3,2,candidate_011,2000,5,0.1,0.0,51,50,42,0.44247685185185187,0.4828296703296703,0.49074074074074076,0.07407407407407407,0.038461538461538464,0.8928571428571429,0.3333333333333333,0.6666666666666666,0.07588299998315051,0.0003687999851536006,0.04032940001343377,0.26254990001325496,32000,float32,int8,0,"{""epochs"":5,""updates"":530}"
onlinehd,3,3,candidate_011,2000,5,0.1,0.0,51,50,42,0.5531497418244407,0.6203703703703703,0.6203703703703703,0.018518518518518517,0.0,0.8888888888888888,0.7407407407407407,0.8518518518518519,0.07547189999604598,0.0003738000232260674,0.03661300000385381,0.26205940000363626,32000,float32,int8,0,"{""epochs"":5,""updates"":517}"
onlinehd,3,1,candidate_012,2000,5,0.1,0.1,51,50,42,0.6764073183384579,0.7135057471264368,0.7142857142857143,0.025210084033613446,0.9666666666666667,0.26666666666666666,0.6206896551724138,1.0,0.0753326999838464,0.00039590001688338816,0.038037799997255206,0.2615360000054352,32000,float32,int8,0,"{""epochs"":5,""updates"":726}"
onlinehd,3,2,candidate_012,2000,5,0.1,0.1,51,50,42,0.5797261151295962,0.6371845746845747,0.6296296296296297,0.08333333333333333,0.9230769230769231,0.10714285714285714,0.5185185185185185,1.0,0.07871080000768416,0.00037090000114403665,0.04032940001343377,0.26254990001325496,32000,float32,int8,0,"{""epochs"":5,""updates"":744}"
onlinehd,3,3,candidate_012,2000,5,0.1,0.1,51,50,42,0.662914766970618,0.6944444444444444,0.6944444444444444,0.09259259259259259,1.0,0.18518518518518517,0.8518518518518519,0.7407407407407407,0.07889130001422018,0.00037209998117759824,0.03661300000385381,0.26205940000363626,32000,float32,int8,0,"{""epochs"":5,""updates"":756}"
