variant,outer_fold,inner_fold,candidate_id,dimension,centroids_per_class,epochs,learning_rate,margin_threshold,levels,feature_k,seed,macro_f1,balanced_accuracy,accuracy,severe_error_rate,recall_class_0,recall_class_1,recall_class_2,recall_class_3,training_seconds,inference_seconds,preprocessing_seconds_shared,encoding_seconds_shared,model_bytes,model_dtype,sample_hv_dtype,subject_overlap_count,training_info_json
hybrid,3,1,candidate_010,2000,3,1,0.05,0.1,51,50,42,0.7848377032803262,0.7810344827586206,0.7815126050420168,0.008403361344537815,0.6333333333333333,0.7666666666666667,0.7241379310344828,1.0,0.0997106000140775,0.0005879999953322113,0.038870500022312626,0.26397329999599606,96000,float32,int8,0,"{""epochs"":1,""initialization"":{""centroids_per_class"":3,""class_counts"":{""0"":53,""1"":55,""2"":54,""3"":54},""cluster_counts"":{""0"":[5,25,23],""1"":[2,14,39],""2"":[20,26,8],""3"":[8,29,17]}},""updates"":202}"
hybrid,3,2,candidate_010,2000,3,1,0.05,0.1,51,50,42,0.7269146525006764,0.7182285307285308,0.7222222222222222,0.027777777777777776,0.46153846153846156,0.8928571428571429,0.6296296296296297,0.8888888888888888,0.09530360001372173,0.0005344999954104424,0.04067139999824576,0.2648621000116691,96000,float32,int8,0,"{""epochs"":1,""initialization"":{""centroids_per_class"":3,""class_counts"":{""0"":57,""1"":57,""2"":56,""3"":57},""cluster_counts"":{""0"":[16,10,31],""1"":[24,29,4],""2"":[29,6,21],""3"":[24,13,20]}},""updates"":205}"
hybrid,3,3,candidate_010,2000,3,1,0.05,0.1,51,50,42,0.739124597207304,0.7407407407407407,0.7407407407407407,0.05555555555555555,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9629629629629629,0.09722520000650547,0.0005261000187601894,0.03831840000930242,0.2609803999948781,96000,float32,int8,0,"{""epochs"":1,""initialization"":{""centroids_per_class"":3,""class_counts"":{""0"":56,""1"":58,""2"":56,""3"":57},""cluster_counts"":{""0"":[7,33,16],""1"":[30,4,24],""2"":[29,10,17],""3"":[26,25,6]}},""updates"":213}"
hybrid,3,1,candidate_011,2000,3,1,0.1,0.0,51,50,42,0.8418435484511186,0.8402298850574712,0.8403361344537815,0.03361344537815126,0.8,0.8,0.8275862068965517,0.9333333333333333,0.0979700000025332,0.000588800001423806,0.038870500022312626,0.26397329999599606,96000,float32,int8,0,"{""epochs"":1,""initialization"":{""centroids_per_class"":3,""class_counts"":{""0"":53,""1"":55,""2"":54,""3"":54},""cluster_counts"":{""0"":[5,25,23],""1"":[2,14,39],""2"":[20,26,8],""3"":[8,29,17]}},""updates"":64}"
hybrid,3,2,candidate_011,2000,3,1,0.1,0.0,51,50,42,0.8231935985598147,0.8228530728530729,0.8240740740740741,0.037037037037037035,0.6538461538461539,0.7857142857142857,0.9259259259259259,0.9259259259259259,0.09353320000809617,0.0005418999935500324,0.04067139999824576,0.2648621000116691,96000,float32,int8,0,"{""epochs"":1,""initialization"":{""centroids_per_class"":3,""class_counts"":{""0"":57,""1"":57,""2"":56,""3"":57},""cluster_counts"":{""0"":[16,10,31],""1"":[24,29,4],""2"":[29,6,21],""3"":[24,13,20]}},""updates"":71}"
hybrid,3,3,candidate_011,2000,3,1,0.1,0.0,51,50,42,0.748851424450054,0.7592592592592592,0.7592592592592593,0.037037037037037035,0.8518518518518519,0.5185185185185185,0.6666666666666666,1.0,0.09604170001694001,0.000529199984157458,0.03831840000930242,0.2609803999948781,96000,float32,int8,0,"{""epochs"":1,""initialization"":{""centroids_per_class"":3,""class_counts"":{""0"":56,""1"":58,""2"":56,""3"":57},""cluster_counts"":{""0"":[7,33,16],""1"":[30,4,24],""2"":[29,10,17],""3"":[26,25,6]}},""updates"":72}"
hybrid,3,1,candidate_012,2000,3,1,0.1,0.1,51,50,42,0.8237762123465668,0.8224137931034483,0.8235294117647058,0.025210084033613446,0.9333333333333333,0.7,0.6896551724137931,0.9666666666666667,0.09972110000671819,0.0005923999997321516,0.038870500022312626,0.26397329999599606,96000,float32,int8,0,"{""epochs"":1,""initialization"":{""centroids_per_class"":3,""class_counts"":{""0"":53,""1"":55,""2"":54,""3"":54},""cluster_counts"":{""0"":[5,25,23],""1"":[2,14,39],""2"":[20,26,8],""3"":[8,29,17]}},""updates"":194}"
hybrid,3,2,candidate_012,2000,3,1,0.1,0.1,51,50,42,0.7754901960784314,0.774496336996337,0.7777777777777778,0.018518518518518517,0.5384615384615384,0.8928571428571429,0.7777777777777778,0.8888888888888888,0.09534559998428449,0.0005658000009134412,0.04067139999824576,0.2648621000116691,96000,float32,int8,0,"{""epochs"":1,""initialization"":{""centroids_per_class"":3,""class_counts"":{""0"":57,""1"":57,""2"":56,""3"":57},""cluster_counts"":{""0"":[16,10,31],""1"":[24,29,4],""2"":[29,6,21],""3"":[24,13,20]}},""updates"":204}"
hybrid,3,3,candidate_012,2000,3,1,0.1,0.1,51,50,42,0.7276840303252629,0.7314814814814814,0.7314814814814815,0.05555555555555555,0.6296296296296297,0.7407407407407407,0.5925925925925926,0.9629629629629629,0.09715260000666603,0.0005292999849189073,0.03831840000930242,0.2609803999948781,96000,float32,int8,0,"{""epochs"":1,""initialization"":{""centroids_per_class"":3,""class_counts"":{""0"":56,""1"":58,""2"":56,""3"":57},""cluster_counts"":{""0"":[7,33,16],""1"":[30,4,24],""2"":[29,10,17],""3"":[26,25,6]}},""updates"":206}"
hybrid,3,1,candidate_013,2000,3,3,0.05,0.0,51,50,42,0.8372409137352211,0.839367816091954,0.8403361344537815,0.025210084033613446,0.9333333333333333,0.7,0.7241379310344828,1.0,0.143296599999303,0.0005934999790042639,0.038870500022312626,0.26397329999599606,96000,float32,int8,0,"{""epochs"":3,""initialization"":{""centroids_per_class"":3,""class_counts"":{""0"":53,""1"":55,""2"":54,""3"":54},""cluster_counts"":{""0"":[5,25,23],""1"":[2,14,39],""2"":[20,26,8],""3"":[8,29,17]}},""updates"":85}"
